generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,checkpoint_path,checkpoint_sha256,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,size_bytes,extension,created_at
img_00012915__one_pixel__efficientnet_b0,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00012915__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.933617353439331, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.933617353439331, ""weapon"": 0.06638268381357193}, ""adversarial_true_label_probability"": 0.933617353439331, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [838.0894456730969, 349.9453682400168, 46.69686760740227, 6.755227518145219, 24.644595373331214], ""best_rgb"": [47, 7, 25], ""best_x"": 838, ""best_y"": 350, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 318770344, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.933617353439331, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.937947154045105, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.937947154045105, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00015879629063419998, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 397.0743103027344, ""perturbation_norm_linf"": 248.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.937947154045105,0.933617353439331,True,True,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,f7f033d0518efef5f9a4063f9cb38e747dc589811512c0f4dc413f1a3b87c418,eb8e8daa26e69694b8aa8b52528726f6,3,397.0743103027344,248.0,0.00015879629063419998,354001,.png,2026-05-05T14:53:08+00:00
img_00012922__one_pixel__efficientnet_b0,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00012922__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9929344654083252, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9929344654083252, ""weapon"": 0.007065510842949152}, ""adversarial_true_label_probability"": 0.9929344654083252, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [542.1281651478209, 451.9891685864186, 192.78732435174143, 11.753566611131447, 4.46292186187803], ""best_rgb"": [193, 12, 4], ""best_x"": 542, ""best_y"": 452, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 3867814033, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9929344654083252, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.993829071521759, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.993829071521759, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0001853333378676325, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 354.8154602050781, ""perturbation_norm_linf"": 251.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.993829071521759,0.9929344654083252,True,True,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,217e2dc5bf0bd7aa30d2f89e9d18ba3020c015ca03cc8d7b46cc00d73bb564c2,5a1fbfcb5fd06f6dee18969ba63bcba5,3,354.8154602050781,251.0,0.0001853333378676325,353820,.png,2026-05-05T14:53:08+00:00
img_00013086__one_pixel__efficientnet_b0,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013086__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9866118431091309, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9866118431091309, ""weapon"": 0.013388200663030148}, ""adversarial_true_label_probability"": 0.9866118431091309, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [880.9756185412034, 59.49294432264196, 98.31015237562508, 7.461926689176451, 9.284140171544053], ""best_rgb"": [98, 7, 9], ""best_x"": 881, ""best_y"": 59, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 3882747586, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9866118431091309, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9873360991477966, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9873360991477966, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00021699999342672527, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 382.973876953125, ""perturbation_norm_linf"": 248.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9873360991477966,0.9866118431091309,True,True,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,b6763c3110639ce74c18722f507ebb5e24f471cd4061330ac3c97fed4a43c736,a7f5c01df3c6fdc0413c520d3e2ed375,3,382.973876953125,248.0,0.00021699999342672527,341008,.png,2026-05-05T14:53:08+00:00
img_00013088__one_pixel__efficientnet_b0,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013088__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.999294638633728, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.999294638633728, ""weapon"": 0.0007053265580907464}, ""adversarial_true_label_probability"": 0.999294638633728, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [592.1411604407922, 552.0836152685182, 246.91813558994392, 200.67106090102746, 99.39796332112986], ""best_rgb"": [247, 201, 99], ""best_x"": 592, ""best_y"": 552, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 3692019257, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.999294638633728, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9993191957473755, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9993191957473755, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00016538170166313648, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 333.4831237792969, ""perturbation_norm_linf"": 247.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9993191957473755,0.999294638633728,True,True,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,dd47c404a4b505083310d79e27d753b41ce06ca5d2e4ee9a3974db041c4c96fa,6ae66da5c84528793ba0cdecfdf28d34,3,333.4831237792969,247.0,0.00016538170166313648,412701,.png,2026-05-05T14:53:08+00:00
img_00013098__one_pixel__efficientnet_b0,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013098__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9940263032913208, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9940263032913208, ""weapon"": 0.005973643623292446}, ""adversarial_true_label_probability"": 0.9940263032913208, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [570.4484440080407, 225.97868544491084, 241.34046292137012, 23.336209545794972, 133.05921318043247], ""best_rgb"": [241, 23, 133], ""best_x"": 570, ""best_y"": 226, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 2398328044, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9940263032913208, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9981023669242859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9981023669242859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00034074074937961996, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 262.4957275390625, ""perturbation_norm_linf"": 232.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9981023669242859,0.9940263032913208,True,True,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,a5842cd71d8a0efd072a82c351c7b7484033df05681039a8564b6bcc8231989d,a26c951b8b932b9acf30788c64a7bcd5,3,262.4957275390625,232.0,0.00034074074937961996,85047,.png,2026-05-05T14:53:08+00:00
img_00013102__one_pixel__efficientnet_b0,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013102__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9997962117195129, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9997962117195129, ""weapon"": 0.0002038417151197791}, ""adversarial_true_label_probability"": 0.9997962117195129, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [629.0187355927195, 938.8633499559029, 14.724169811321644, 19.366975294875814, 11.629218926165166], ""best_rgb"": [15, 19, 12], ""best_x"": 629, ""best_y"": 939, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 21684538, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9997962117195129, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9998056292533875, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9998056292533875, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0001447965914849192, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 360.9030456542969, ""perturbation_norm_linf"": 211.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9998056292533875,0.9997962117195129,True,True,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,f1106b865fb23fea2f03418a5cd4193266b8ac139ec3afe3f68552b89c6bbfb2,bc4154559a472048e11d5629b968f633,3,360.9030456542969,211.0,0.0001447965914849192,404347,.png,2026-05-05T14:53:08+00:00
img_00013494__one_pixel__efficientnet_b0,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013494__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.872391402721405, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.872391402721405, ""weapon"": 0.1276085525751114}, ""adversarial_true_label_probability"": 0.872391402721405, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [543.7174579212353, 90.54356210710824, 17.910146805432618, 37.9112786839642, 57.62713980959559], ""best_rgb"": [18, 38, 58], ""best_x"": 544, ""best_y"": 91, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 551732634, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.872391402721405, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.8773840069770813, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.8773840069770813, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0003610175917856395, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 334.6475830078125, ""perturbation_norm_linf"": 204.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.8773840069770813,0.872391402721405,True,True,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,a22d246b484cd601cd7b2ec84defc03dbd8344a4f28d473d32aafcd958b173d8,2a8afb148d3d790c43fd5382d52036ff,3,334.6475830078125,204.0,0.0003610175917856395,668114,.png,2026-05-05T14:53:08+00:00
img_00013495__one_pixel__efficientnet_b0,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013495__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9297180771827698, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9297180771827698, ""weapon"": 0.07028189301490784}, ""adversarial_true_label_probability"": 0.9297180771827698, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [692.3748348512866, 184.18977670413187, 3.2780962635789592, 8.378082851291722, 141.5776286339479], ""best_rgb"": [3, 8, 142], ""best_x"": 692, ""best_y"": 184, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 3920913106, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9297180771827698, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9341734051704407, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9341734051704407, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00030636342125944793, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 296.0016784667969, ""perturbation_norm_linf"": 198.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9341734051704407,0.9297180771827698,True,True,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,faac29409e04b552b53661c36d1b52f09a38c6fd272f8e70544e72cdddb709cb,f5eebf9de9380b08cfa3089175db9fde,3,296.0016784667969,198.0,0.00030636342125944793,521767,.png,2026-05-05T14:53:08+00:00
img_00013559__one_pixel__efficientnet_b0,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013559__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9976361989974976, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9976361989974976, ""weapon"": 0.002363860607147217}, ""adversarial_true_label_probability"": 0.9976361989974976, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [109.10074479362947, 557.1446835121003, 64.46468368067744, 0.11077503366571761, 96.70656117172543], ""best_rgb"": [64, 0, 97], ""best_x"": 109, ""best_y"": 557, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 430986573, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9976361989974976, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9977389574050903, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9977389574050903, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00021202427160460502, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 305.7073669433594, ""perturbation_norm_linf"": 226.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9977389574050903,0.9976361989974976,True,True,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,5000018801e1069016a63154c06e79e400d05755ac3ba4f2e726bc89db4fb960,35f08fa7db942369c5599850d0e6a5d7,3,305.7073669433594,226.0,0.00021202427160460502,598757,.png,2026-05-05T14:53:08+00:00
img_00013614__one_pixel__efficientnet_b0,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/one_pixel/efficientnet_b0/fold_1/non_weapon/img_00013614__one_pixel__efficientnet_b0.png,adversarial,one_pixel,"{""adversarial_confidence"": 0.9779784083366394, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.9779784083366394, ""weapon"": 0.022021591663360596}, ""adversarial_true_label_probability"": 0.9779784083366394, ""attack_type"": ""differential_evolution_one_pixel"", ""base_seed"": 42, ""best_candidate"": [253.69828759671913, 294.0205655128032, 209.2887373211188, 252.2417909703206, 176.51840610762147], ""best_rgb"": [209, 252, 177], ""best_x"": 254, ""best_y"": 294, ""changed_pixel_count"": 1, ""converged"": false, ""effective_population_size"": 40, ""image_seed"": 1041573690, ""input_size"": 224, ""iterations_used"": 30, ""max_iterations"": 30, ""metric_space"": ""pixel_[0,255]"", ""optimization_objective"": ""minimize_true_label_probability"", ""optimizer_fun"": 0.9779784083366394, ""optimizer_message"": ""Maximum number of iterations has been exceeded."", ""optimizer_success"": false, ""original_confidence"": 0.9783229827880859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9783229827880859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00033248812542296946, ""perturbation_norm_l0"": 3, ""perturbation_norm_l2"": 251.95237731933594, ""perturbation_norm_linf"": 182.0, ""polish"": false, ""population_size"": 8, ""queries_used"": 1241, ""search_dimension"": 5, ""search_space"": ""x_y_rgb"", ""target_model"": ""efficientnet_b0"", ""updating"": ""immediate"", ""workers"": 1}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9783229827880859,0.9779784083366394,True,True,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,a99a5ae39654940e31139d6d280b5e1ade93627ad97325c1fc8414a0020da3f3,e236c316f8e05217a779a1c970d82054,3,251.95237731933594,182.0,0.00033248812542296946,512768,.png,2026-05-05T14:53:08+00:00
