generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,size_bytes,extension,created_at
img_00012915__color_shift__model_agnostic,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00012915__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 5.343221187591553, ""perturbation_norm_l0"": 1873367, ""perturbation_norm_l2"": 17782.21875, ""perturbation_norm_linf"": 21.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,c172ce8f8950bb1971216d57a85d3523749777e6183f7055ab9fd2f309c38e99,5f2be2b41dd5e79bc3739e86306dcf92,1873367,17782.21875,21.0,5.343221187591553,84382,.jpg,2026-05-04T22:53:16+00:00
img_00012922__color_shift__model_agnostic,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00012922__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 7.1768574714660645, ""perturbation_norm_l0"": 2126047, ""perturbation_norm_l2"": 16869.150390625, ""perturbation_norm_linf"": 14.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,6070d43fed1550dd9c75e163c3f1fe2b503a0dd6bc05212588ebbcff31ac6652,355467b082aa7b604f5d227c53581455,2126047,16869.150390625,14.0,7.1768574714660645,88318,.jpg,2026-05-04T22:53:16+00:00
img_00013086__color_shift__model_agnostic,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013086__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 6.43438196182251, ""perturbation_norm_l0"": 1886626, ""perturbation_norm_l2"": 15872.4912109375, ""perturbation_norm_linf"": 32.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,b9d1f8764b9bd5fb38ee97502932ef41a30766f0d475d29cc4d4d009a272e9c6,55d9fe28219fcd899e021893cd5ebe2a,1886626,15872.4912109375,32.0,6.43438196182251,117353,.jpg,2026-05-04T22:53:16+00:00
img_00013088__color_shift__model_agnostic,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013088__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 6.554346084594727, ""perturbation_norm_l0"": 2109240, ""perturbation_norm_l2"": 16917.08984375, ""perturbation_norm_linf"": 31.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,1715d0c3542d311a1ed8d15a5f162fadc7ebd8a38fc347c061e30e24a148ed67,87e2a70ee266fd7111d5947f54c97b7b,2109240,16917.08984375,31.0,6.554346084594727,103397,.jpg,2026-05-04T22:53:16+00:00
img_00013098__color_shift__model_agnostic,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013098__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 5.43860387802124, ""perturbation_norm_l0"": 512279, ""perturbation_norm_l2"": 8981.796875, ""perturbation_norm_linf"": 26.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,66ac8df6db1a13dd2b436399acd42e324c430739a44a47245dee54dc3d5b5c8f,78bd947174ef9651c9a8708b3968e4c9,512279,8981.796875,26.0,5.43860387802124,24531,.jpg,2026-05-04T22:53:16+00:00
img_00013102__color_shift__model_agnostic,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013102__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.354395866394043, ""perturbation_norm_l0"": 4245250, ""perturbation_norm_l2"": 23143.41015625, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,84dc3b756f8d7747450b8d586373ce19d411935df5bebf1e44447ce474adb725,0de1042caa1ce32f033d0a25e2f2812c,4245250,23143.41015625,28.0,9.354395866394043,109024,.jpg,2026-05-04T22:53:16+00:00
img_00013494__color_shift__model_agnostic,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013494__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.206202507019043, ""perturbation_norm_l0"": 1584509, ""perturbation_norm_l2"": 13858.1962890625, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,7a698447910feaf557fc58d259502c10b1a370aa25ae0a40ac6a22227d0752a3,48421ddbbaff00c1d36d28d6b500733e,1584509,13858.1962890625,28.0,9.206202507019043,129953,.jpg,2026-05-04T22:53:16+00:00
img_00013495__color_shift__model_agnostic,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013495__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 8.823356628417969, ""perturbation_norm_l0"": 1599965, ""perturbation_norm_l2"": 13266.78125, ""perturbation_norm_linf"": 28.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,6ef1b81a97f8281cb990484099320d9d5b6ee9ebd16a04dc52be1533b9ea6ee8,5878b8372166e24fcd9c5418e08dce43,1599965,13266.78125,28.0,8.823356628417969,94648,.jpg,2026-05-04T22:53:16+00:00
img_00013559__color_shift__model_agnostic,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013559__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 7.16577672958374, ""perturbation_norm_l0"": 1527453, ""perturbation_norm_l2"": 14898.29296875, ""perturbation_norm_linf"": 23.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,d4019adf42adcd930c406e60f1f006de0fdc3d57af815574f998173a3e29ea8e,fd2ced5d56a7a865cf3485fc2c0329d6,1527453,14898.29296875,23.0,7.16577672958374,138235,.jpg,2026-05-04T22:53:16+00:00
img_00013614__color_shift__model_agnostic,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/color_shift/model_agnostic/fold_1/non_weapon/img_00013614__color_shift__model_agnostic.jpg,adversarial,color_shift,"{""blue_shift"": -12, ""contrast_factor"": 1.0, ""green_shift"": 0, ""jpeg_quality"": 95, ""output_format"": ""JPEG"", ""perturbation_mean_abs"": 9.273865699768066, ""perturbation_norm_l0"": 1226282, ""perturbation_norm_l2"": 12715.5234375, ""perturbation_norm_linf"": 27.0, ""red_shift"": 12, ""saturation_factor"": 1.1}",model_agnostic,model_agnostic,not_applicable,not_computed,not_computed,not_computed,not_computed,not_computed,not_computed,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,8062e98c9216d5a4f9e4b8422b6bdd3b790ce4fa3925628d399030fabae98702,196e6c19e0be98667b895444db4f451c,1226282,12715.5234375,27.0,9.273865699768066,105524,.jpg,2026-05-04T22:53:16+00:00
