generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,checkpoint_path,checkpoint_sha256,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,size_bytes,extension,created_at
img_00012915__fgsm__efficientnet_b0,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00012915__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.8575297594070435, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.8575297594070435, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.937947154045105, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.937947154045105, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.01832113042473793, ""perturbation_norm_l0"": 88050, ""perturbation_norm_l2"": 9.2994384765625, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.937947154045105,0.8575297594070435,True,True,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,53e9ed05c514070c45df267323b1577ad19dabacb516ec4dcc0141005ed520d5,edf33c8b10413837695f06aaa5ba682e,88050,9.2994384765625,0.03137257695198059,0.01832113042473793,39533,.png,2026-05-05T13:56:55+00:00
img_00012922__fgsm__efficientnet_b0,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00012922__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.5333198308944702, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.5333198308944702, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.993829071521759, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.993829071521759, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.024651527404785156, ""perturbation_norm_l0"": 119645, ""perturbation_norm_l2"": 10.76931095123291, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.993829071521759,0.5333198308944702,True,True,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,f691baed99fc6930d260d098ee93146aa4cc8b2ca3f1c1eebec77d9b043976a3,41c6c3b5556f41a2dfe8db9f9a7faf2f,119645,10.76931095123291,0.03137257695198059,0.024651527404785156,64253,.png,2026-05-05T13:56:55+00:00
img_00013086__fgsm__efficientnet_b0,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013086__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.8974681496620178, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.8974681496620178, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9873360991477966, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9873360991477966, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.022824257612228394, ""perturbation_norm_l0"": 111483, ""perturbation_norm_l2"": 10.342215538024902, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9873360991477966,0.8974681496620178,True,True,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,be55167c437a91b516040fa697dd3235ae912b443109bce6ffbdf7ebe9a106dc,d570f19e6e1e5b4641f618d10410afb8,111483,10.342215538024902,0.03137257695198059,0.022824257612228394,58526,.png,2026-05-05T13:56:55+00:00
img_00013088__fgsm__efficientnet_b0,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013088__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.9547260403633118, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.9547260403633118, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9993191957473755, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9993191957473755, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.023593656718730927, ""perturbation_norm_l0"": 121236, ""perturbation_norm_l2"": 10.497337341308594, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9993191957473755,0.9547260403633118,True,True,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,fade43e5a2a3ee2ddad1b9b025c359fc31f7ea218b4d2e6af884119abefba530,1c2135aa2310b1db3882676b2b80d0e9,121236,10.497337341308594,0.03137257695198059,0.023593656718730927,70259,.png,2026-05-05T13:56:55+00:00
img_00013098__fgsm__efficientnet_b0,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013098__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.9892949461936951, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.9892949461936951, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9981023669242859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9981023669242859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.01829945296049118, ""perturbation_norm_l0"": 96051, ""perturbation_norm_l2"": 9.231241226196289, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9981023669242859,0.9892949461936951,True,True,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,8fb9c0dff02e6ac227daf9103cf291141a7aabbe69fb79db9c275963ab83f134,682eea87eb6c09d28bdf2f0a61d87960,96051,9.231241226196289,0.03137257695198059,0.01829945296049118,34520,.png,2026-05-05T13:56:55+00:00
img_00013102__fgsm__efficientnet_b0,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013102__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.9940062761306763, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.9940062761306763, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9998056292533875, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9998056292533875, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.031022220849990845, ""perturbation_norm_l0"": 149778, ""perturbation_norm_l2"": 12.089909553527832, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9998056292533875,0.9940062761306763,True,True,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,34c8c2e0548f95d8d19f7414e8e9f79e2ff84f53c9b07fa2dd765146be3f1039,47a1fcc6278854f89be5b2103b072a5f,149778,12.089909553527832,0.03137257695198059,0.031022220849990845,68369,.png,2026-05-05T13:56:55+00:00
img_00013494__fgsm__efficientnet_b0,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013494__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.6227781176567078, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.6227781176567078, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.8773840069770813, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.8773840069770813, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0313720777630806, ""perturbation_norm_l0"": 150528, ""perturbation_norm_l2"": 12.17154598236084, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.8773840069770813,0.6227781176567078,True,True,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,8b5e9c24bd7db1072d87d610a6312cd9f072e2ae9cdc3f25440e87023b2175c6,32a79f1980328b6a2aa9358260a26992,150528,12.17154598236084,0.03137257695198059,0.0313720777630806,97477,.png,2026-05-05T13:56:55+00:00
img_00013495__fgsm__efficientnet_b0,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013495__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.7649827003479004, ""adversarial_prediction"": ""weapon"", ""adversarial_true_label_probability"": 0.235017329454422, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9341734051704407, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9341734051704407, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.030801668763160706, ""perturbation_norm_l0"": 150438, ""perturbation_norm_l2"": 12.019137382507324, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9341734051704407,0.7649827003479004,True,False,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,6741878f3b1e48f9846dedc767cdb9237a57f2ddddabc171220e5389bb3685bb,2224df465faef573dbba62af02d1ee2a,150438,12.019137382507324,0.03137257695198059,0.030801668763160706,93024,.png,2026-05-05T13:56:55+00:00
img_00013559__fgsm__efficientnet_b0,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013559__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.7411563396453857, ""adversarial_prediction"": ""non_weapon"", ""adversarial_true_label_probability"": 0.7411563396453857, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9977389574050903, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9977389574050903, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.026951508596539497, ""perturbation_norm_l0"": 134830, ""perturbation_norm_l2"": 11.205204963684082, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9977389574050903,0.7411563396453857,True,True,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,7bd379659aaacc6f114fc8e3273edfcab58057ccae2fe7cba8e558c0a3efded4,73b7ba093769d9f95a958e13a7dc7b8e,134830,11.205204963684082,0.03137257695198059,0.026951508596539497,76508,.png,2026-05-05T13:56:55+00:00
img_00013614__fgsm__efficientnet_b0,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/fgsm/efficientnet_b0/fold_1/non_weapon/img_00013614__fgsm__efficientnet_b0.png,adversarial,fgsm,"{""adversarial_confidence"": 0.641244113445282, ""adversarial_prediction"": ""weapon"", ""adversarial_true_label_probability"": 0.358755886554718, ""attack_type"": ""untargeted"", ""epsilon"": 0.03137254901960784, ""epsilon_space"": ""pixel_[0,1]"", ""input_size"": 224, ""original_confidence"": 0.9783229827880859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9783229827880859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.031110309064388275, ""perturbation_norm_l0"": 149864, ""perturbation_norm_l2"": 12.113158226013184, ""perturbation_norm_linf"": 0.03137257695198059, ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9783229827880859,0.641244113445282,True,False,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,472d4eb6ff6da23c9428e96cb3408290bf43088bc453d9d0eb5e6c58e52f21f3,c290e93f30ccd893e5fa12191edb929b,149864,12.113158226013184,0.03137257695198059,0.031110309064388275,99539,.png,2026-05-05T13:56:55+00:00
