generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,checkpoint_path,checkpoint_sha256,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,size_bytes,extension,created_at
img_00012915__sigma_zero__efficientnet_b0,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00012915__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 1.0, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 9.405718565114185e-11, ""weapon"": 1.0}, ""adversarial_true_label_probability"": 9.405718565114185e-11, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 2343, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9379470348358154, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9379470348358154, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.015564375557005405, ""perturbation_norm_l0"": 2713, ""perturbation_norm_l2"": 45.97308349609375, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9379470348358154,1.0,True,False,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,3bd84276c55f01fec101c8219f32cc61c41b5a2657973791560c3664f7cd963d,10323af6b0cc05ac31838244a20ab652,2713,45.97308349609375,1.0,0.015564375557005405,25343,.png,2026-05-05T19:19:24+00:00
img_00012922__sigma_zero__efficientnet_b0,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00012922__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.5378425121307373, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4621574282646179, ""weapon"": 0.5378425121307373}, ""adversarial_true_label_probability"": 0.4621574282646179, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 669, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9938289523124695, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9938289523124695, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0038743193726986647, ""perturbation_norm_l0"": 701, ""perturbation_norm_l2"": 22.671724319458008, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9938289523124695,0.5378425121307373,True,False,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,eed705f4318688f60338193bab8a0cbf39ebe9be96f12f82623cbb84b9a30839,32ce7e95361c012860eb8ea0b9bbbe16,701,22.671724319458008,1.0,0.0038743193726986647,31582,.png,2026-05-05T19:19:24+00:00
img_00013086__sigma_zero__efficientnet_b0,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013086__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.665441632270813, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.334558367729187, ""weapon"": 0.665441632270813}, ""adversarial_true_label_probability"": 0.334558367729187, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 675, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9873360991477966, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9873360991477966, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.004073176998645067, ""perturbation_norm_l0"": 688, ""perturbation_norm_l2"": 23.80933952331543, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9873360991477966,0.665441632270813,True,False,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,644d7733c2b9a95945d40240527cebf4f63a02c8e6abbb1bf8c298d0857481e2,235fa46e5a323f4aa60ee670ae66e34e,688,23.80933952331543,1.0,0.004073176998645067,31498,.png,2026-05-05T19:19:24+00:00
img_00013088__sigma_zero__efficientnet_b0,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013088__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.9998223185539246, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.0001777585275704041, ""weapon"": 0.9998223185539246}, ""adversarial_true_label_probability"": 0.0001777585275704041, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 3038, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9993191957473755, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9993191957473755, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.01927868463099003, ""perturbation_norm_l0"": 3580, ""perturbation_norm_l2"": 49.80574035644531, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9993191957473755,0.9998223185539246,True,False,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,8eb78289deb5ad6dac18e55039866cd1b9e909d27f2a9eacbc89002f513e8978,a706a31d32e64411acf5d83ede9f20da,3580,49.80574035644531,1.0,0.01927868463099003,53605,.png,2026-05-05T19:19:24+00:00
img_00013098__sigma_zero__efficientnet_b0,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013098__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 1.0, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 3.801337911113478e-09, ""weapon"": 1.0}, ""adversarial_true_label_probability"": 3.801337911113478e-09, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 5342, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9981022477149963, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9981022477149963, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.028404617682099342, ""perturbation_norm_l0"": 6218, ""perturbation_norm_l2"": 56.95935821533203, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9981022477149963,1.0,True,False,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,2cb31307f6344eaf0b97222a4419a8369bb6335f3eea72b338c4810390b44e9e,2a755c4c9b2d66cc7d5cfb97d06a5341,6218,56.95935821533203,1.0,0.028404617682099342,34208,.png,2026-05-05T19:19:24+00:00
img_00013102__sigma_zero__efficientnet_b0,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013102__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 1.0, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 2.937794546510836e-16, ""weapon"": 1.0}, ""adversarial_true_label_probability"": 2.937794546510836e-16, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 460, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9998056292533875, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9998056292533875, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.002597533166408539, ""perturbation_norm_l0"": 488, ""perturbation_norm_l2"": 18.157167434692383, ""perturbation_norm_linf"": 0.9543725252151489, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9998056292533875,1.0,True,False,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,949194e0dc40f9eeeca1aef982897f92d4476d0e4d6b1aff279b3df1bac99f8e,f5750339ae6c79b4b1a0dc9cc1af6615,488,18.157167434692383,0.9543725252151489,0.002597533166408539,40747,.png,2026-05-05T19:19:24+00:00
img_00013494__sigma_zero__efficientnet_b0,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013494__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.7611417174339294, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.23885834217071533, ""weapon"": 0.7611417174339294}, ""adversarial_true_label_probability"": 0.23885834217071533, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 800, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.8773835301399231, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.8773835301399231, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.004128595348447561, ""perturbation_norm_l0"": 833, ""perturbation_norm_l2"": 22.14070701599121, ""perturbation_norm_linf"": 0.9450980424880981, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.8773835301399231,0.7611417174339294,True,False,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,82fccc3b6ff5d0be06304b5a35dfb539ffe6fa9686d92c3be24d75d647ded794,6874362e3bb506c1251fc52e16d93ed4,833,22.14070701599121,0.9450980424880981,0.004128595348447561,83588,.png,2026-05-05T19:19:24+00:00
img_00013495__sigma_zero__efficientnet_b0,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013495__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.9999967813491821, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 3.2516309147467837e-06, ""weapon"": 0.9999967813491821}, ""adversarial_true_label_probability"": 3.2516309147467837e-06, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 1925, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9341734051704407, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9341734051704407, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.008057926781475544, ""perturbation_norm_l0"": 2137, ""perturbation_norm_l2"": 27.841379165649414, ""perturbation_norm_linf"": 0.9960784912109375, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9341734051704407,0.9999967813491821,True,False,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,3ec6b539eac7b9c99224d8203a4eddf8199cea745215f1659bdb870fffe68cf4,0ee76203ea3b387496945c2f4a546a11,2137,27.841379165649414,0.9960784912109375,0.008057926781475544,74624,.png,2026-05-05T19:19:24+00:00
img_00013559__sigma_zero__efficientnet_b0,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013559__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.5988761782646179, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.40112391114234924, ""weapon"": 0.5988761782646179}, ""adversarial_true_label_probability"": 0.40112391114234924, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 1946, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9977389574050903, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9977389574050903, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.008674166165292263, ""perturbation_norm_l0"": 2034, ""perturbation_norm_l2"": 30.785171508789062, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9977389574050903,0.5988761782646179,True,False,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,89ff5167905d9860cffa9fbe6159e92ca12140650852593965f6aa10c7a08e4f,18f2ddd216a7ff385d8e4ae8ebc4783f,2034,30.785171508789062,1.0,0.008674166165292263,56793,.png,2026-05-05T19:19:24+00:00
img_00013614__sigma_zero__efficientnet_b0,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00013614__sigma_zero__efficientnet_b0.png,adversarial,sigma_zero,"{""adversarial_confidence"": 0.7377982139587402, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.26220181584358215, ""weapon"": 0.7377982139587402}, ""adversarial_true_label_probability"": 0.26220181584358215, ""attack_type"": ""sigma_zero_reference_adv_lib"", ""changed_pixel_count"": 453, ""converged"": true, ""eta_0"": 1.0, ""grad_norm"": Infinity, ""input_size"": 224, ""metric_space"": ""pixel_[0,1]"", ""optimization_objective"": ""minimal_l0_untargeted_reference_sigma_zero"", ""original_confidence"": 0.9783229827880859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9783229827880859, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0018517752178013325, ""perturbation_norm_l0"": 463, ""perturbation_norm_l2"": 13.588712692260742, ""perturbation_norm_linf"": 1.0, ""reference_commit"": ""b14f81a3e1c414a573b969b402c99e65bfe2ca33"", ""reference_function"": ""adv_lib.attacks.sigma_zero"", ""reference_library"": ""jeromerony/adversarial-library"", ""sigma"": 0.001, ""steps"": 1000, ""target_model"": ""efficientnet_b0"", ""targeted"": false, ""tau_0"": 0.3, ""tau_factor"": 0.01}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9783229827880859,0.7377982139587402,True,False,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,577a5389b44f91b7de4cbcee74997cacaf7b7b9bcb757114abbe95cd2ccda4d5,413fdeb85c11814d1d799ba51dc0a43d,463,13.588712692260742,1.0,0.0018517752178013325,77796,.png,2026-05-05T19:19:24+00:00
