generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,target_model,model_dependency,checkpoint_path,checkpoint_sha256,attack_success,original_prediction,adversarial_prediction,original_confidence,adversarial_confidence,original_correct,adversarial_correct,sha256_original,md5_original,sha256_perturbed,md5_perturbed,perturbation_norm_l0,perturbation_norm_l2,perturbation_norm_linf,perturbation_mean_abs,attack_iterations,attack_convergence_status,size_bytes,extension,created_at
img_00012915__superdeepfool__efficientnet_b0,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00012915__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5595197081565857, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.44048023223876953, ""weapon"": 0.5595197081565857}, ""adversarial_true_label_probability"": 0.44048023223876953, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 2, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.937947154045105, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.937947154045105, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00021400699915830046, ""perturbation_norm_l0"": 588, ""perturbation_norm_l2"": 0.2318892776966095, ""perturbation_norm_linf"": 0.011807069182395935, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.937947154045105,0.5595197081565857,True,False,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,fb7365b3522507a46f5209edd3170031a6174cc1f968aff9122ee248ec3df0f2,f34a6192ab54f92e2316792dad3e66dd,588,0.2318892776966095,0.011807069182395935,0.00021400699915830046,2,converged_boundary_projection_not_preserved,15829,.png,2026-05-06T04:04:44+00:00
img_00012922__superdeepfool__efficientnet_b0,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00012922__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.6666203141212463, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.33337968587875366, ""weapon"": 0.6666203141212463}, ""adversarial_true_label_probability"": 0.33337968587875366, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 2, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.993829071521759, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.993829071521759, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0005438437219709158, ""perturbation_norm_l0"": 998, ""perturbation_norm_l2"": 0.3602629005908966, ""perturbation_norm_linf"": 0.012328803539276123, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.993829071521759,0.6666203141212463,True,False,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,6304034e25cf0033b27b4b2b50286c1d6a20818392828f0aac788d8bf0e6ad27,7b2c1b21eb5ea965d77de0a4801323ff,998,0.3602629005908966,0.012328803539276123,0.0005438437219709158,2,converged_boundary_projection_not_preserved,35537,.png,2026-05-06T04:04:44+00:00
img_00013086__superdeepfool__efficientnet_b0,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013086__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5, ""adversarial_prediction"": ""non_weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.5, ""weapon"": 0.5}, ""adversarial_true_label_probability"": 0.5, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": false, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 17, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9873360991477966, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9873360991477966, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0007477360777556896, ""perturbation_norm_l0"": 4774, ""perturbation_norm_l2"": 0.5960739850997925, ""perturbation_norm_linf"": 0.027784258127212524, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,False,non_weapon,non_weapon,0.9873360991477966,0.5,True,True,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,8d3a1f3f80edfe7c7a9658392c81831773393bfa5189e8e158d3dba8e5fc232a,fdf568439e318344e6e147fa1c4bffb7,4774,0.5960739850997925,0.027784258127212524,0.0007477360777556896,17,converged_boundary_projection_not_preserved,36708,.png,2026-05-06T04:04:44+00:00
img_00013088__superdeepfool__efficientnet_b0,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013088__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5078662633895874, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4921337962150574, ""weapon"": 0.5078662633895874}, ""adversarial_true_label_probability"": 0.4921337962150574, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 5, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9993191957473755, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9993191957473755, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0013647746527567506, ""perturbation_norm_l0"": 11314, ""perturbation_norm_l2"": 0.8759352564811707, ""perturbation_norm_linf"": 0.05061262845993042, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9993191957473755,0.5078662633895874,True,False,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,a462704af27f43e15a4b72c87a0b31af3b8082781457bc3f84e835b799cb076a,51b454baa21fcbd1467a64a2ed231e7a,11314,0.8759352564811707,0.05061262845993042,0.0013647746527567506,5,converged_boundary_projection_not_preserved,57866,.png,2026-05-06T04:04:44+00:00
img_00013098__superdeepfool__efficientnet_b0,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013098__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5055339336395264, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.494466096162796, ""weapon"": 0.5055339336395264}, ""adversarial_true_label_probability"": 0.494466096162796, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 4, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9981023669242859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9981023669242859, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00035363947972655296, ""perturbation_norm_l0"": 955, ""perturbation_norm_l2"": 0.29799339175224304, ""perturbation_norm_linf"": 0.01214694231748581, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9981023669242859,0.5055339336395264,True,False,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,48cf557a032c096787fdf48dcc5c4f2bf6301d091720310ef2250737ac9de002,9bf15aa46bca4e92af4eefedb744c1b7,955,0.29799339175224304,0.01214694231748581,0.00035363947972655296,4,converged_boundary_projection_not_preserved,18792,.png,2026-05-06T04:04:44+00:00
img_00013102__superdeepfool__efficientnet_b0,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013102__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5082077980041504, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4917921721935272, ""weapon"": 0.5082077980041504}, ""adversarial_true_label_probability"": 0.4917921721935272, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 6, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9998056292533875, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9998056292533875, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.00180103222373873, ""perturbation_norm_l0"": 16501, ""perturbation_norm_l2"": 1.079582929611206, ""perturbation_norm_linf"": 0.03696399927139282, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9998056292533875,0.5082077980041504,True,False,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,8ee07a36febe3f8e38ba91a7a333e5fa87c317bb9536f865823dd854a8e06d54,fdd7fb169fd94992d6dd3c13681ec1c9,16501,1.079582929611206,0.03696399927139282,0.00180103222373873,6,converged_boundary_projection_not_preserved,59122,.png,2026-05-06T04:04:44+00:00
img_00013494__superdeepfool__efficientnet_b0,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013494__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.569405734539032, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4305942952632904, ""weapon"": 0.569405734539032}, ""adversarial_true_label_probability"": 0.4305942952632904, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_projected"", ""deepfool_iterations_used"": 1, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.8773837089538574, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.8773837089538574, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.000105445840745233, ""perturbation_norm_l0"": 5, ""perturbation_norm_l2"": 0.0820343941450119, ""perturbation_norm_linf"": 0.004853203892707825, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": true, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.8773837089538574,0.569405734539032,True,False,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,afc6e3294472c02cef6e457019d0e6617d2db09193c489a418a2341b6fa9b79e,b0a21d2e85f3f3a545161b48138111e0,5,0.0820343941450119,0.004853203892707825,0.000105445840745233,1,converged_projected,79234,.png,2026-05-06T04:04:44+00:00
img_00013495__superdeepfool__efficientnet_b0,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013495__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5814681053161621, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4185318946838379, ""weapon"": 0.5814681053161621}, ""adversarial_true_label_probability"": 0.4185318946838379, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 2, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9341734647750854, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9341734647750854, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0005284211365506053, ""perturbation_norm_l0"": 499, ""perturbation_norm_l2"": 0.3147885799407959, ""perturbation_norm_linf"": 0.017714619636535645, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9341734647750854,0.5814681053161621,True,False,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,5fc946740ff8536d5afeb15d6387876efdc7b5b33851d71278bcbbe73088bf3c,f10cb18e9cc86bce58122dadb9c81f91,499,0.3147885799407959,0.017714619636535645,0.0005284211365506053,2,converged_boundary_projection_not_preserved,70575,.png,2026-05-06T04:04:44+00:00
img_00013559__superdeepfool__efficientnet_b0,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013559__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.5788346529006958, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.4211653172969818, ""weapon"": 0.5788346529006958}, ""adversarial_true_label_probability"": 0.4211653172969818, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 3, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9977389574050903, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9977389574050903, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.001045015174895525, ""perturbation_norm_l0"": 5277, ""perturbation_norm_l2"": 0.6302714347839355, ""perturbation_norm_linf"": 0.025908589363098145, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9977389574050903,0.5788346529006958,True,False,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,764b3baf34381f5958f454959f590772d86b766c2809ef52ce2039d7307d0226,eee38811fa652e7768981c3dee60a4a2,5277,0.6302714347839355,0.025908589363098145,0.001045015174895525,3,converged_boundary_projection_not_preserved,59464,.png,2026-05-06T04:04:44+00:00
img_00013614__superdeepfool__efficientnet_b0,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/adversarial/superdeepfool/efficientnet_b0/fold_1/non_weapon/img_00013614__superdeepfool__efficientnet_b0.png,adversarial,superdeepfool,"{""adversarial_confidence"": 0.571479856967926, ""adversarial_prediction"": ""weapon"", ""adversarial_probabilities"": {""non_weapon"": 0.428520143032074, ""weapon"": 0.571479856967926}, ""adversarial_true_label_probability"": 0.428520143032074, ""attack_family"": ""adversarial"", ""attack_name"": ""superdeepfool"", ""attack_success"": true, ""attack_type"": ""superdeepfool_reference_style"", ""attack_variant"": ""SDF(infinity,1)"", ""candidate_classes"": null, ""converged"": true, ""convergence_status"": ""converged_boundary_projection_not_preserved"", ""deepfool_iterations_used"": 2, ""input_size"": 224, ""max_deepfool_iterations"": 50, ""max_outer_iterations"": 20, ""metric_space"": ""pixel_[0,1]"", ""model_dependency"": ""white_box_checkpoint"", ""numerical_eps"": 1e-12, ""original_confidence"": 0.9783229827880859, ""original_prediction"": ""non_weapon"", ""original_true_label_probability"": 0.9783229827880859, ""outer_iterations_used"": 1, ""output_format"": ""PNG"", ""perturbation_mean_abs"": 0.0008975447854027152, ""perturbation_norm_l0"": 3722, ""perturbation_norm_l2"": 0.5449782013893127, ""perturbation_norm_linf"": 0.018356159329414368, ""pixel_change_threshold"": 0.00392156862745098, ""projection_iterations_used"": 1, ""projection_preserved_adversarial"": false, ""projection_steps"": 1, ""reference_basis"": ""paper_based_internal_implementation"", ""target_model"": ""efficientnet_b0""}",efficientnet_b0,model_dependent,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,True,non_weapon,weapon,0.9783229827880859,0.571479856967926,True,False,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,2189b346ace487854c81bc1276ceefeac66c5a2862f613fb9ccc932d98d166d1,c577c89f891b5c0b7d65c6700f11edd4,3722,0.5449782013893127,0.018356159329414368,0.0008975447854027152,2,converged_boundary_projection_not_preserved,79600,.png,2026-05-06T04:04:44+00:00
