generated_image_id,original_image_id,fold,final_label,source_dataset,source_group,source_relative_path,prepared_relative_path,clean_relative_path,perturbed_relative_path,attack_family,attack_name,attack_parameters,sha256_original,md5_original,sha256_perturbed,md5_perturbed,size_bytes,extension,created_at
img_00012915__jpeg_recompression,img_00012915,fold_1,non_weapon,03_google_scraped,google,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00012915__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,4dcc0d738a61f4eb3ced130dcb7cdd52c579b012a283e614863026dd141e740e,275f4fcaf622c69a24e22ac1d01f36d9,33060,.jpg,2026-05-07T04:09:38+00:00
img_00012922__jpeg_recompression,img_00012922,fold_1,non_weapon,03_google_scraped,google,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00012922__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,03b13823b24514545da0ef25eab50ac87a84f4b96c806756022f550bc7cc0ee4,b3603decd5d3afafd14bf3e78bb4bf0b,52387,.jpg,2026-05-07T04:09:38+00:00
img_00013086__jpeg_recompression,img_00013086,fold_1,non_weapon,03_google_scraped,google,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013086__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,787f778c0078111468421f5793de95a66c12a340af6d61f9c7856a7b656d01ac,c487ffdd6e076477b35354d3aae5bd91,47598,.jpg,2026-05-07T04:09:38+00:00
img_00013088__jpeg_recompression,img_00013088,fold_1,non_weapon,03_google_scraped,google,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013088__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,0dd5a3453f3409bed0a3dcd62487e2da3da8df281d81a3e32ffda730b16cf5aa,9d53f5e7a1b96c275959048f78744191,52723,.jpg,2026-05-07T04:09:38+00:00
img_00013098__jpeg_recompression,img_00013098,fold_1,non_weapon,03_google_scraped,google,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013098__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,97c4ca10eda735de695e3e09323dcc56a021b7071453cb05ecf42231c8156d6a,5232d99d0f7da1c0f5f8c36981486193,10523,.jpg,2026-05-07T04:09:38+00:00
img_00013102__jpeg_recompression,img_00013102,fold_1,non_weapon,03_google_scraped,google,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013102__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,4cf51cef8457628ea86a6061051c93fa0e61911ed73631fa4b4ca0b298c00a66,a2911838a7781a258e187cbc2ee3c9d2,59203,.jpg,2026-05-07T04:09:38+00:00
img_00013494__jpeg_recompression,img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013494__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,99b6a325d086cd12141d5dfc48b398240af86cfee99c2e4d446b1c202408047e,3c1d58e245292aba5ef7fa95763952e2,76524,.jpg,2026-05-07T04:09:38+00:00
img_00013495__jpeg_recompression,img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013495__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,4f7307be10afa137fc02ac532335c00515056a9ad33cb4a570ca186a17f08735,9cb74ac698059b41cb7f1f6015040bdd,51895,.jpg,2026-05-07T04:09:38+00:00
img_00013559__jpeg_recompression,img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013559__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,8d80b1c0622a9993cfd7d090f418f8a629c50b86de8ee5ff95ebaef2a60d23df,4ca6c1f39e193e573ee538933fc665cb,76304,.jpg,2026-05-07T04:09:38+00:00
img_00013614__jpeg_recompression,img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,attacks/anti_forensic/jpeg_recompression/fold_1/non_weapon/img_00013614__jpeg_recompression.jpg,anti_forensic,jpeg_recompression,"{""output_format"": ""JPEG"", ""quality"": 70}",37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,778ea11d5e74c625065927908a57c76979c55f65833a67ad4b4f8be2b566ed5f,dc5b3adaa505b4ea3c8f7879a21882ac,60011,.jpg,2026-05-07T04:09:38+00:00
