image_id,relative_path,source_dataset,source_group,sha256,final_label,review_state,review_notes,reviewer_id,review_timestamp,source_priority
img_00000009,images/img_00000009.jpeg,01_kaggle_weapon,kaggle,c924e05c15699f6b0489ca42f24e2841f6749607d0d68520ceb053a9838e2144,ood,reviewed,,Lello,2026-04-22T08:46:46+00:00,4
img_00000010,images/img_00000010.jpeg,01_kaggle_weapon,kaggle,4ff7cba915e64c5d1cdc31a22b72636c0f1af4501c235fcb204af0f693637a81,ood,reviewed,,Lello,2026-04-22T08:46:47+00:00,4
img_00000017,images/img_00000017.jpeg,01_kaggle_weapon,kaggle,0b97f29bca426884df391da30196fbea8e2375c3bff9ace1d53b0274e786e496,ood,reviewed,,Lello,2026-04-22T08:46:53+00:00,4
img_00000024,images/img_00000024.jpeg,01_kaggle_weapon,kaggle,9a3ca42b180a559fc1e360cfca8b800e550e23f44ffa8f1bc2526bf1652a0c9d,ood,reviewed,,Lello,2026-04-22T08:49:16+00:00,4
img_00000027,images/img_00000027.jpeg,01_kaggle_weapon,kaggle,c7dcdcac6ab6fefc00a860a4307394d9d5ce77f36138fdd2a259ec707723b293,ood,reviewed,,Lello,2026-04-22T08:49:27+00:00,4
img_00000070,images/img_00000070.jpeg,01_kaggle_weapon,kaggle,e609d976383af2a1012847993401a3e3ffca38a88b56cc7c5ca16945a71c52e2,ood,reviewed,,Lello,2026-04-22T08:49:59+00:00,4
img_00000075,images/img_00000075.jpeg,01_kaggle_weapon,kaggle,6ebe0ff4f6b3db9f4e83842229ea257aaaaa14a63c55b42b8ceab754dd5618db,ood,reviewed,,Lello,2026-04-22T08:49:57+00:00,4
img_00000079,images/img_00000079.jpeg,01_kaggle_weapon,kaggle,66e255f1a7e3796779c5201679644cdb34712f15445d13580dca4114355d94d6,ood,reviewed,,Lello,2026-04-22T08:50:03+00:00,4
img_00000164,images/img_00000164.jpeg,01_kaggle_weapon,kaggle,43e5440d5a8b02ef0d0f5d38355efc636b22f8e64bf335943cce1d410b97fc88,ood,reviewed,,Lello,2026-04-22T08:51:53+00:00,4
img_00000170,images/img_00000170.jpeg,01_kaggle_weapon,kaggle,c8ddaf5f776e07bfc702cf221d31feb4035af74588043bb92f1d90053bddf855,ood,reviewed,,Lello,2026-04-22T08:52:12+00:00,4
img_00000171,images/img_00000171.jpeg,01_kaggle_weapon,kaggle,4269273303fed105d08334fdef8db7c8d64917c8f2db996d0edb8b315f440bcb,ood,reviewed,,Lello,2026-04-22T08:52:14+00:00,4
img_00000172,images/img_00000172.jpeg,01_kaggle_weapon,kaggle,cab6f1798198535a2cfc1cb6097d7424791e6e1c2ec1cdca85d0f97ffed0bbba,ood,reviewed,,Lello,2026-04-22T08:52:16+00:00,4
img_00000173,images/img_00000173.jpeg,01_kaggle_weapon,kaggle,20e52485fa1309857fb3dd62cdcd64e596f4abc2964a1ed528fa0ef37c10c458,ood,reviewed,,Lello,2026-04-22T08:52:18+00:00,4
img_00000174,images/img_00000174.jpeg,01_kaggle_weapon,kaggle,56e73715251ecfc8ec9507d07a28b7d0bc8b2a99029b154350a29f423554f02d,ood,reviewed,,Lello,2026-04-22T08:52:20+00:00,4
img_00000188,images/img_00000188.jpeg,01_kaggle_weapon,kaggle,33fd9e8c1575819b5914b67f9268a941f3c4704f8a3b93fc0068a6d77e5f9aab,ood,reviewed,,Lello,2026-04-22T08:59:55+00:00,4
img_00000189,images/img_00000189.jpeg,01_kaggle_weapon,kaggle,5d9641b8bcab66e16267f2c4cccbcfda9b40517bcce7c5ea6a7451d3fe06b522,ood,reviewed,,Lello,2026-04-22T08:59:57+00:00,4
img_00000190,images/img_00000190.jpeg,01_kaggle_weapon,kaggle,d0ff2cb9ad2c74e4241e6812d206941acd6ae8af6483b4424b6745d3d19ed60f,ood,reviewed,,Lello,2026-04-22T08:59:58+00:00,4
img_00000191,images/img_00000191.jpeg,01_kaggle_weapon,kaggle,628a85093447e4d184783be4cdc35483dcfeda448a8e290a698f794f35fe5bd3,ood,reviewed,,Lello,2026-04-22T08:59:59+00:00,4
img_00000192,images/img_00000192.jpeg,01_kaggle_weapon,kaggle,c19f6055acbf4c3ce62de9d1fef4ecdc0894d6ad1dea9dc4b4f2096bc3485e93,ood,reviewed,,Lello,2026-04-22T09:00:01+00:00,4
img_00000193,images/img_00000193.jpeg,01_kaggle_weapon,kaggle,effe6376a3474990242e7ae37bbeca8918b5f6935b54ace1895be5ae23e45c27,ood,reviewed,,Lello,2026-04-22T09:00:02+00:00,4
img_00000194,images/img_00000194.jpeg,01_kaggle_weapon,kaggle,c48bf030f395e38f15ac4b5d6a0a9f7bc2cf4eb27537a7b61997d8269b918283,ood,reviewed,,Lello,2026-04-22T09:00:04+00:00,4
img_00000195,images/img_00000195.jpeg,01_kaggle_weapon,kaggle,f590e16d78a1c35855bb19eec81296f597b88042a9632560309ff7a28fa28e66,ood,reviewed,,Lello,2026-04-22T09:00:05+00:00,4
