image_id,relative_path,source_dataset,source_group,sha256,final_label,review_state,review_notes,reviewer_id,review_timestamp,source_priority
img_00000001,images/img_00000001.jpg,01_kaggle_weapon,kaggle,a9df9263d583d137f19ed1578dd0906d19b44a107d8046794fef3a9ad9389a99,weapon,reviewed,,Lello,2026-04-22T08:46:22+00:00,4
img_00000002,images/img_00000002.jpg,01_kaggle_weapon,kaggle,7a7d8e2da32ca3cd887666524285720c66283cc691b7075ec48510003d1b724b,weapon,reviewed,,Lello,2026-04-22T08:46:33+00:00,4
img_00000003,images/img_00000003.jpg,01_kaggle_weapon,kaggle,efa5d09ad0e32d215b4cf92103658bd8f539bce02ac34f8c67fd8044e597715f,weapon,reviewed,,Lello,2026-04-22T08:46:34+00:00,4
img_00000004,images/img_00000004.jpg,01_kaggle_weapon,kaggle,768d8265386d41b3bcce73ae5becccd59c425358143101e6a429dc5a7c36aaae,weapon,reviewed,,Lello,2026-04-22T08:46:37+00:00,4
img_00000005,images/img_00000005.jpg,01_kaggle_weapon,kaggle,80634cc6bac7fd5a77fe211611d5e9186b6a3694c0b287c11632c4e844fe549e,weapon,reviewed,,Lello,2026-04-22T08:46:38+00:00,4
img_00000006,images/img_00000006.jpeg,01_kaggle_weapon,kaggle,53632b0dcc9c8b8b79da2cf9ed829da6f1e49241eba912c0c63bb10ba00a8ff8,weapon,reviewed,,Lello,2026-04-22T08:46:40+00:00,4
img_00000007,images/img_00000007.jpeg,01_kaggle_weapon,kaggle,3df5b7a968dc6c91265468c6d6ed3286c3f8a914f865f9550af76469c0d1e20e,weapon,reviewed,,Lello,2026-04-22T08:46:42+00:00,4
img_00000008,images/img_00000008.jpeg,01_kaggle_weapon,kaggle,8a71d85b3ac276a65d8e0ab5acb05ed331d6127ffc43c1e9f31d73c3b46ae3f2,,pending,,,,4
img_00000009,images/img_00000009.jpeg,01_kaggle_weapon,kaggle,c924e05c15699f6b0489ca42f24e2841f6749607d0d68520ceb053a9838e2144,ood,reviewed,,Lello,2026-04-22T08:46:46+00:00,4
img_00000010,images/img_00000010.jpeg,01_kaggle_weapon,kaggle,4ff7cba915e64c5d1cdc31a22b72636c0f1af4501c235fcb204af0f693637a81,ood,reviewed,,Lello,2026-04-22T08:46:47+00:00,4
img_00000011,images/img_00000011.png,01_kaggle_weapon,kaggle,2af36d13abb4920c36aad05803dd2cd1879c14828e93b928131516dcdd8ae218,,pending,,,,4
img_00000012,images/img_00000012.png,01_kaggle_weapon,kaggle,eee84e331a998e33668f7a95f655d1a033abf222c1d1e5e1e90bb2f7d63734a1,,pending,,,,4
img_00000013,images/img_00000013.jpeg,01_kaggle_weapon,kaggle,699703db790f0c377a27fd782a645ffdbf9ee0829839215cf2c1353d7dfd9402,,pending,,,,4
