bundle_id,suffix,has_embedded_metadata,sensitive_hits,sensitive_hit_count,metadata_keys
bundle_000003,.jpg,true,gun,1,exif:256;exif:257;exif:258;exif:259;exif:262;exif:274;exif:277;exif:282;exif:283;exif:284;exif:296;exif:305;exif:306;exif:34665;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:photoshop;info:progression;info:progressive;info:xmp;mode;width
bundle_000139,.jpg,true,gun,1,format;height;info:adobe;info:adobe_transform;info:icc_profile;info:photoshop;info:progression;info:progressive;info:xmp;mode;width
bundle_000148,.png,true,gun;knife;weapon,3,format;height;info:XML:com.adobe.xmp;info:dpi;info:xmp;mode;width
bundle_000312,.jpeg,true,bullets;handgun;pistol,3,exif:256;exif:257;exif:258;exif:259;exif:262;exif:270;exif:271;exif:272;exif:274;exif:277;exif:282;exif:283;exif:284;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;format;height;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
bundle_000320,.jpeg,true,contrast;firearm;gun;rifle;weapon,5,exif:271;exif:272;exif:274;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;exif:34853;exif:531;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
bundle_000506,.jpeg,true,gun,1,format;height;info:dpi;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;mode;width
bundle_000507,.jpeg,true,firearm;firearms;gun;handgun,4,exif:256;exif:257;exif:258;exif:262;exif:270;exif:271;exif:272;exif:274;exif:277;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:318;exif:319;exif:33432;exif:34665;exif:34853;exif:529;exif:531;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:photoshop;info:progression;info:progressive;info:xmp;mode;width
bundle_000716,.jpeg,true,ammunition;shotgun;weapon,3,exif:256;exif:257;exif:258;exif:259;exif:262;exif:270;exif:274;exif:277;exif:282;exif:283;exif:284;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:photoshop;info:xmp;mode;width
bundle_000758,.jpg,true,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,exif:271;exif:272;exif:274;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;format;height;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:progression;info:progressive;info:xmp;mode;width
bundle_000939,.jpg,true,contrast,1,exif:274;format;height;info:adobe;info:adobe_transform;info:dpi;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
bundle_000948,.jpg,true,gun;handgun;pistol,3,exif:256;exif:257;exif:258;exif:262;exif:270;exif:271;exif:272;exif:274;exif:277;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:photoshop;info:xmp;mode;width
bundle_001011,.jpeg,true,ammunition;bazooka;firearm;gun;handgun;launcher;rifle;rocket launcher;weapon,9,exif:270;exif:34665;exif:40091;exif:40094;exif:40095;format;height;info:comment;info:dpi;info:exif;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
bundle_001372,.jpg,true,ammunition;blood;crime scene;knife;murder;pistol;weapon,7,exif:256;exif:257;exif:258;exif:262;exif:270;exif:271;exif:272;exif:274;exif:277;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:34665;format;height;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:progression;info:progressive;info:xmp;mode;width
bundle_001380,.jpg,true,blood;crime scene;weapon,3,exif:270;exif:271;exif:272;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;exif:40091;exif:40094;exif:40095;format;height;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
bundle_001383,.jpg,true,bloody;crime scene;knife;murder,4,exif:270;exif:271;exif:272;exif:274;exif:282;exif:283;exif:296;exif:305;exif:306;exif:315;exif:33432;exif:34665;format;height;info:dpi;info:exif;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:xmp;mode;width
