image_id,prepared_filename,prepared_relative_path,source_group,source_dataset,source_relative_path,source_filename,sha256,width,height,size_bytes,extension,is_valid_image
img_00000001,img_00000001.jpg,images/img_00000001.jpg,kaggle,01_kaggle_weapon,test/test/army.jpg,army.jpg,a9df9263d583d137f19ed1578dd0906d19b44a107d8046794fef3a9ad9389a99,600,398,73726,.jpg,True
img_00000002,img_00000002.jpg,images/img_00000002.jpg,kaggle,01_kaggle_weapon,test/test/terrorists.jpg,terrorists.jpg,7a7d8e2da32ca3cd887666524285720c66283cc691b7075ec48510003d1b724b,760,443,104110,.jpg,True
img_00000003,img_00000003.jpg,images/img_00000003.jpg,kaggle,01_kaggle_weapon,test/test/terrorists2.jpg,terrorists2.jpg,efa5d09ad0e32d215b4cf92103658bd8f539bce02ac34f8c67fd8044e597715f,2048,1152,397251,.jpg,True
img_00000004,img_00000004.jpg,images/img_00000004.jpg,kaggle,01_kaggle_weapon,test/test/weapons.jpg,weapons.jpg,768d8265386d41b3bcce73ae5becccd59c425358143101e6a429dc5a7c36aaae,960,640,162959,.jpg,True
img_00000005,img_00000005.jpg,images/img_00000005.jpg,kaggle,01_kaggle_weapon,test/test/weapons2.jpg,weapons2.jpg,80634cc6bac7fd5a77fe211611d5e9186b6a3694c0b287c11632c4e844fe549e,736,490,50590,.jpg,True
img_00000006,img_00000006.jpeg,images/img_00000006.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_10.jpeg,Automatic Rifle_10.jpeg,53632b0dcc9c8b8b79da2cf9ed829da6f1e49241eba912c0c63bb10ba00a8ff8,1280,720,135659,.jpeg,True
img_00000007,img_00000007.jpeg,images/img_00000007.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_100.jpeg,Automatic Rifle_100.jpeg,3df5b7a968dc6c91265468c6d6ed3286c3f8a914f865f9550af76469c0d1e20e,1000,750,236851,.jpeg,True
img_00000008,img_00000008.jpeg,images/img_00000008.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_11.jpeg,Automatic Rifle_11.jpeg,8a71d85b3ac276a65d8e0ab5acb05ed331d6127ffc43c1e9f31d73c3b46ae3f2,1920,1080,112104,.jpeg,True
img_00000009,img_00000009.jpeg,images/img_00000009.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_12.jpeg,Automatic Rifle_12.jpeg,c924e05c15699f6b0489ca42f24e2841f6749607d0d68520ceb053a9838e2144,750,450,38257,.jpeg,True
img_00000010,img_00000010.jpeg,images/img_00000010.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_14.jpeg,Automatic Rifle_14.jpeg,4ff7cba915e64c5d1cdc31a22b72636c0f1af4501c235fcb204af0f693637a81,1280,720,67229,.jpeg,True
img_00000011,img_00000011.png,images/img_00000011.png,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_15.png,Automatic Rifle_15.png,2af36d13abb4920c36aad05803dd2cd1879c14828e93b928131516dcdd8ae218,512,512,173448,.png,True
img_00000012,img_00000012.png,images/img_00000012.png,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_16.png,Automatic Rifle_16.png,eee84e331a998e33668f7a95f655d1a033abf222c1d1e5e1e90bb2f7d63734a1,2500,980,1272939,.png,True
img_00000013,img_00000013.jpeg,images/img_00000013.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_17.jpeg,Automatic Rifle_17.jpeg,699703db790f0c377a27fd782a645ffdbf9ee0829839215cf2c1353d7dfd9402,1751,1110,999492,.jpeg,True
img_00000014,img_00000014.png,images/img_00000014.png,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_18.png,Automatic Rifle_18.png,9e72cf191b6539dc28f205176aa14bef73d2ff9ad7f9c79765c8147be68cb147,900,356,201181,.png,True
img_00000015,img_00000015.jpeg,images/img_00000015.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_20.jpeg,Automatic Rifle_20.jpeg,310dbe2c4a9befd295507d278c89803776713d46205fd64bae0e081d7cd18468,1280,946,289619,.jpeg,True
img_00000016,img_00000016.jpeg,images/img_00000016.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_22.jpeg,Automatic Rifle_22.jpeg,77023af700c6393981c82b34a69ca3f178c5499564dc4bf6cfba4277204763c5,768,439,19727,.jpeg,True
img_00000017,img_00000017.jpeg,images/img_00000017.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_24.jpeg,Automatic Rifle_24.jpeg,0b97f29bca426884df391da30196fbea8e2375c3bff9ace1d53b0274e786e496,800,600,61152,.jpeg,True
img_00000018,img_00000018.jpeg,images/img_00000018.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_25.jpeg,Automatic Rifle_25.jpeg,d9c1cc380be72171d7b605c02dae1ae1fa1029401a57b63937518ce006552da9,480,360,26219,.jpeg,True
img_00000019,img_00000019.jpeg,images/img_00000019.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_26.jpeg,Automatic Rifle_26.jpeg,1a503005e47839da42b2850f68520e50c3a540c4b5c7702c6cb5e7cafabadd2e,774,1080,119042,.jpeg,True
img_00000020,img_00000020.jpeg,images/img_00000020.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_27.jpeg,Automatic Rifle_27.jpeg,69f1b2e9a1945edacb78acbe7d33021cb549a42879cfde1ad73a9205d789c0c8,907,382,53511,.jpeg,True
img_00000021,img_00000021.jpeg,images/img_00000021.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_29.jpeg,Automatic Rifle_29.jpeg,ea217b3d332d8d48bc38950100edc8edb71636d1099e4b063661cd5beaf33914,1200,671,141584,.jpeg,True
img_00000022,img_00000022.jpeg,images/img_00000022.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_3.jpeg,Automatic Rifle_3.jpeg,5401e0d351375c934eccb9eeb02db3b7bde60a34f785e9ab747a5bbc45dc5498,493,450,41249,.jpeg,True
img_00000023,img_00000023.jpeg,images/img_00000023.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_32.jpeg,Automatic Rifle_32.jpeg,4632d9aeb70633cfaef57985847fcd9ce1b87a9e2ee5c08ac82d57efc6faf66b,480,360,37550,.jpeg,True
img_00000024,img_00000024.jpeg,images/img_00000024.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_33.jpeg,Automatic Rifle_33.jpeg,9a3ca42b180a559fc1e360cfca8b800e550e23f44ffa8f1bc2526bf1652a0c9d,1500,1444,164071,.jpeg,True
img_00000025,img_00000025.jpeg,images/img_00000025.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_34.jpeg,Automatic Rifle_34.jpeg,cbed5705b306dc191b389af4ee5070a53ead30830b58b2bae6ab2e99b2fcb68f,1500,600,208422,.jpeg,True
img_00000026,img_00000026.jpeg,images/img_00000026.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_37.jpeg,Automatic Rifle_37.jpeg,6c488a40bcc4825e33731c4d5a4754ebc598661b4f0bfbb9cbdbb068276c4526,1200,600,86954,.jpeg,True
img_00000027,img_00000027.jpeg,images/img_00000027.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_38.jpeg,Automatic Rifle_38.jpeg,c7dcdcac6ab6fefc00a860a4307394d9d5ce77f36138fdd2a259ec707723b293,800,800,29187,.jpeg,True
img_00000028,img_00000028.jpeg,images/img_00000028.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_39.jpeg,Automatic Rifle_39.jpeg,8b248da929e16d136d6d378836109512af0a50c596f6c5295b98553a91459105,1200,900,37302,.jpeg,True
img_00000029,img_00000029.jpeg,images/img_00000029.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_4.jpeg,Automatic Rifle_4.jpeg,c114337677bf0aba53ccf48422f1ee164838b275052d293c62fda765170778d2,1600,850,164745,.jpeg,True
img_00000030,img_00000030.jpeg,images/img_00000030.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_44.jpeg,Automatic Rifle_44.jpeg,0f9a3e16748188b72ca00f3d510cce2a2a77515ef77ba29e3987b9bb503ea2b9,1200,1200,59291,.jpeg,True
img_00000031,img_00000031.jpeg,images/img_00000031.jpeg,kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_45.jpeg,Automatic Rifle_45.jpeg,329c9b874b82dbdbf1d42c01185cba8b44e103b97b02659f398f050401acd10c,2700,1800,233537,.jpeg,True
