sha256,kept_image_id,kept_source_dataset,kept_source_relative_path,discarded_source_dataset,discarded_source_relative_path,discarded_source_filename
5401e0d351375c934eccb9eeb02db3b7bde60a34f785e9ab747a5bbc45dc5498,img_00000022,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_3.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_61.jpeg,Automatic Rifle_61.jpeg
c27d63aa78099bf560602fd5b19a605bb34737bad5158588891ed60d9e258be2,img_00000035,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_5.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_63.jpeg,Automatic Rifle_63.jpeg
81a63895319f9599680c8dc3f5e98dd15b292126893123abac48e6b2df7673fd,img_00000042,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_6.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_64.jpeg,Automatic Rifle_64.jpeg
53632b0dcc9c8b8b79da2cf9ed829da6f1e49241eba912c0c63bb10ba00a8ff8,img_00000006,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_10.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_68.jpeg,Automatic Rifle_68.jpeg
8a71d85b3ac276a65d8e0ab5acb05ed331d6127ffc43c1e9f31d73c3b46ae3f2,img_00000008,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_11.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_69.jpeg,Automatic Rifle_69.jpeg
2af36d13abb4920c36aad05803dd2cd1879c14828e93b928131516dcdd8ae218,img_00000011,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_15.png,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_74.png,Automatic Rifle_74.png
eee84e331a998e33668f7a95f655d1a033abf222c1d1e5e1e90bb2f7d63734a1,img_00000012,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_16.png,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_75.png,Automatic Rifle_75.png
310dbe2c4a9befd295507d278c89803776713d46205fd64bae0e081d7cd18468,img_00000015,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_20.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_78.jpeg,Automatic Rifle_78.jpeg
77023af700c6393981c82b34a69ca3f178c5499564dc4bf6cfba4277204763c5,img_00000016,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_22.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_80.jpeg,Automatic Rifle_80.jpeg
69f1b2e9a1945edacb78acbe7d33021cb549a42879cfde1ad73a9205d789c0c8,img_00000020,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_27.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_85.jpeg,Automatic Rifle_85.jpeg
cbed5705b306dc191b389af4ee5070a53ead30830b58b2bae6ab2e99b2fcb68f,img_00000025,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_34.jpeg,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_93.jpeg,Automatic Rifle_93.jpeg
ac2e4bf94891aed812cc19a7a509fdca140edb7b2213be6e55714be1169df87f,img_00000048,01_kaggle_weapon,weapon_detection/train/images/Bazooka_100.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_34.jpeg,Bazooka_34.jpeg
2f8bf516982a01ffa34004065050fd67ccffdb05b457a10a32a381f6a8c788ce,img_00000059,01_kaggle_weapon,weapon_detection/train/images/Bazooka_3.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_66.jpeg,Bazooka_66.jpeg
237373304431f9f8c12348dc07806aa996b6400186cb1913472a68110cffd7bd,img_00000074,01_kaggle_weapon,weapon_detection/train/images/Bazooka_6.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_69.jpeg,Bazooka_69.jpeg
019f593c860ddba186aa3597f05740059ebe3503a44fd9fe254487ddc3c002f7,img_00000047,01_kaggle_weapon,weapon_detection/train/images/Bazooka_10.png,01_kaggle_weapon,weapon_detection/train/images/Bazooka_75.png,Bazooka_75.png
cb5dc81b97e32fd9b18c6af4a1f8e3e9e8f553dfa16a752df0f5d5597b320010,img_00000050,01_kaggle_weapon,weapon_detection/train/images/Bazooka_12.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_77.jpeg,Bazooka_77.jpeg
db0f76420a05f9c1869d590230d41cd04eec976a0890cc612374f956b0ef91e5,img_00000052,01_kaggle_weapon,weapon_detection/train/images/Bazooka_14.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_79.jpeg,Bazooka_79.jpeg
96a9aeb36e7999a906724b1c202b5704d5eb1b4e58154547e50dacb26cdcb579,img_00000053,01_kaggle_weapon,weapon_detection/train/images/Bazooka_15.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_80.jpeg,Bazooka_80.jpeg
3b168cfcf09e60df60e6c781dec2930869c60a21dcf6cc6391fd2e68318a559f,img_00000055,01_kaggle_weapon,weapon_detection/train/images/Bazooka_19.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_85.jpeg,Bazooka_85.jpeg
93b54eeb0b165abd0c93e28afb74ffd35fd698b50ce01a36279ddd2f7fc52cf2,img_00000060,01_kaggle_weapon,weapon_detection/train/images/Bazooka_30.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_96.jpeg,Bazooka_96.jpeg
f3dd81e40dbc326e739d3713c8441a722411550909c045b845d4af92c2511261,img_00000061,01_kaggle_weapon,weapon_detection/train/images/Bazooka_32.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_98.jpeg,Bazooka_98.jpeg
6248f185d7111da063c28df317a739852f2e21415a740e8896f3af0b0461430b,img_00000062,01_kaggle_weapon,weapon_detection/train/images/Bazooka_33.jpeg,01_kaggle_weapon,weapon_detection/train/images/Bazooka_99.jpeg,Bazooka_99.jpeg
702f5934da06704afeccf1c519fe92e4161f607948a61c725e8ab8aee4642c13,img_00000093,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_3.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_56.jpeg,Grenade Launcher_56.jpeg
50f0ae1795d52aa0b950b318bc1b98e226642ce348fc553ef8f8c87c00d73658,img_00000105,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_5.png,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_58.png,Grenade Launcher_58.png
72b84bee411732671c6ceea114d917d4f61e65344b13e7a952d1263d91ede7d7,img_00000110,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_59.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_6.jpeg,Grenade Launcher_6.jpeg
994ee45044fe2be61064384ccc1d54d4c90c077fee47b77a4a912351aae93b55,img_00000082,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_10.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_63.jpeg,Grenade Launcher_63.jpeg
db7c734ec54a88642f6ba5a07fac91d2cedefab1bd15a24ce6dd40e6c94da1ec,img_00000083,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_11.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_64.jpeg,Grenade Launcher_64.jpeg
b8f31f902de0aae97d07dcf24ba4a29a2a3cce4206bbe43bdbe48b2ce9cc4fb0,img_00000084,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_12.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_65.jpeg,Grenade Launcher_65.jpeg
281d327c9765b8cf74004d9be712d38698453b79a0fa70006208f1ea72373033,img_00000111,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_60.jpeg,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_7.jpeg,Grenade Launcher_7.jpeg
