source_group,source_dataset,source_relative_path,source_filename,reason
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_21.jpeg,Automatic Rifle_21.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_23.jpeg,Automatic Rifle_23.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_48.png,Automatic Rifle_48.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_65.jpeg,Automatic Rifle_65.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_7.jpeg,Automatic Rifle_7.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_72.jpeg,Automatic Rifle_72.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Automatic Rifle_79.jpeg,Automatic Rifle_79.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_26.jpeg,Bazooka_26.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_4.jpeg,Bazooka_4.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_49.jpeg,Bazooka_49.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_5.jpeg,Bazooka_5.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_67.jpeg,Bazooka_67.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_68.jpeg,Bazooka_68.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_7.jpeg,Bazooka_7.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Bazooka_83.jpeg,Bazooka_83.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_27.png,Grenade Launcher_27.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_33.png,Grenade Launcher_33.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_39.png,Grenade Launcher_39.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_46.jpeg,Grenade Launcher_46.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_84.jpeg,Grenade Launcher_84.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_86.jpeg,Grenade Launcher_86.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_87.png,Grenade Launcher_87.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_94.png,Grenade Launcher_94.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Grenade Launcher_96.jpeg,Grenade Launcher_96.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Handgun_18.jpeg,Handgun_18.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Handgun_34.jpeg,Handgun_34.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Handgun_4.jpeg,Handgun_4.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Handgun_93.jpeg,Handgun_93.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Handgun_96.jpeg,Handgun_96.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Knife_42.jpeg,Knife_42.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_100.png,SMG_100.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_35.png,SMG_35.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_50.jpeg,SMG_50.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_57.jpeg,SMG_57.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_6.jpeg,SMG_6.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/SMG_68.jpeg,SMG_68.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Shotgun_100.jpeg,Shotgun_100.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Shotgun_14.jpeg,Shotgun_14.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/train/images/Shotgun_28.jpeg,Shotgun_28.jpeg,below_min_size
