relative_path,filename,extension,size_bytes,is_image,sha256
download_summary.csv,download_summary.csv,.csv,54,0,28399bf489b524daf5117fbe8c596c6ab4bc9687d4eadab4b78c170a2c467c63
metadata.csv,metadata.csv,.csv,26812,0,66be3387b30e7825f390e74fdebcabe62d2ab1afb96b66ad8bf15587942b820d
test/test/army.jpg,army.jpg,.jpg,73726,1,a9df9263d583d137f19ed1578dd0906d19b44a107d8046794fef3a9ad9389a99
test/test/giphy.gif,giphy.gif,.gif,674880,0,6d3eba2f7166768342c579d994cfbb268a5797272c22e12d9f48f4fd9cb6c923
test/test/mafia-mafia-game.gif,mafia-mafia-game.gif,.gif,8941978,0,36d4a058f3b9963a575e2beedf0c0809a61791adb90148c1ff7a600709ebbe69
test/test/terrorists.jpg,terrorists.jpg,.jpg,104110,1,7a7d8e2da32ca3cd887666524285720c66283cc691b7075ec48510003d1b724b
test/test/terrorists2.jpg,terrorists2.jpg,.jpg,397251,1,efa5d09ad0e32d215b4cf92103658bd8f539bce02ac34f8c67fd8044e597715f
test/test/weapons.jpg,weapons.jpg,.jpg,162959,1,768d8265386d41b3bcce73ae5becccd59c425358143101e6a429dc5a7c36aaae
test/test/weapons2.jpg,weapons2.jpg,.jpg,50590,1,80634cc6bac7fd5a77fe211611d5e9186b6a3694c0b287c11632c4e844fe549e
test/test/weaponsgta5.gif,weaponsgta5.gif,.gif,824109,0,1ef305752546cec4ad442cece5d9788975860136f0f3eceb9ea809841a8b10a5
weapon_detection/train/images/Automatic Rifle_10.jpeg,Automatic Rifle_10.jpeg,.jpeg,135659,1,53632b0dcc9c8b8b79da2cf9ed829da6f1e49241eba912c0c63bb10ba00a8ff8
weapon_detection/train/images/Automatic Rifle_100.jpeg,Automatic Rifle_100.jpeg,.jpeg,236851,1,3df5b7a968dc6c91265468c6d6ed3286c3f8a914f865f9550af76469c0d1e20e
weapon_detection/train/images/Automatic Rifle_11.jpeg,Automatic Rifle_11.jpeg,.jpeg,112104,1,8a71d85b3ac276a65d8e0ab5acb05ed331d6127ffc43c1e9f31d73c3b46ae3f2
weapon_detection/train/images/Automatic Rifle_12.jpeg,Automatic Rifle_12.jpeg,.jpeg,38257,1,c924e05c15699f6b0489ca42f24e2841f6749607d0d68520ceb053a9838e2144
weapon_detection/train/images/Automatic Rifle_14.jpeg,Automatic Rifle_14.jpeg,.jpeg,67229,1,4ff7cba915e64c5d1cdc31a22b72636c0f1af4501c235fcb204af0f693637a81
weapon_detection/train/images/Automatic Rifle_15.png,Automatic Rifle_15.png,.png,173448,1,2af36d13abb4920c36aad05803dd2cd1879c14828e93b928131516dcdd8ae218
weapon_detection/train/images/Automatic Rifle_16.png,Automatic Rifle_16.png,.png,1272939,1,eee84e331a998e33668f7a95f655d1a033abf222c1d1e5e1e90bb2f7d63734a1
weapon_detection/train/images/Automatic Rifle_17.jpeg,Automatic Rifle_17.jpeg,.jpeg,999492,1,699703db790f0c377a27fd782a645ffdbf9ee0829839215cf2c1353d7dfd9402
weapon_detection/train/images/Automatic Rifle_18.png,Automatic Rifle_18.png,.png,201181,1,9e72cf191b6539dc28f205176aa14bef73d2ff9ad7f9c79765c8147be68cb147
weapon_detection/train/images/Automatic Rifle_20.jpeg,Automatic Rifle_20.jpeg,.jpeg,289619,1,310dbe2c4a9befd295507d278c89803776713d46205fd64bae0e081d7cd18468
weapon_detection/train/images/Automatic Rifle_21.jpeg,Automatic Rifle_21.jpeg,.jpeg,11115,1,453eb08868994be0767d8d1590c80a5137a42350c8a174407f785515d00edc23
weapon_detection/train/images/Automatic Rifle_22.jpeg,Automatic Rifle_22.jpeg,.jpeg,19727,1,77023af700c6393981c82b34a69ca3f178c5499564dc4bf6cfba4277204763c5
weapon_detection/train/images/Automatic Rifle_23.jpeg,Automatic Rifle_23.jpeg,.jpeg,19232,1,5c58ec1c43c2317706da006bf83ade6cac70d829d55eb958243bb3c14f61ba05
weapon_detection/train/images/Automatic Rifle_24.jpeg,Automatic Rifle_24.jpeg,.jpeg,61152,1,0b97f29bca426884df391da30196fbea8e2375c3bff9ace1d53b0274e786e496
weapon_detection/train/images/Automatic Rifle_25.jpeg,Automatic Rifle_25.jpeg,.jpeg,26219,1,d9c1cc380be72171d7b605c02dae1ae1fa1029401a57b63937518ce006552da9
weapon_detection/train/images/Automatic Rifle_26.jpeg,Automatic Rifle_26.jpeg,.jpeg,119042,1,1a503005e47839da42b2850f68520e50c3a540c4b5c7702c6cb5e7cafabadd2e
weapon_detection/train/images/Automatic Rifle_27.jpeg,Automatic Rifle_27.jpeg,.jpeg,53511,1,69f1b2e9a1945edacb78acbe7d33021cb549a42879cfde1ad73a9205d789c0c8
weapon_detection/train/images/Automatic Rifle_29.jpeg,Automatic Rifle_29.jpeg,.jpeg,141584,1,ea217b3d332d8d48bc38950100edc8edb71636d1099e4b063661cd5beaf33914
weapon_detection/train/images/Automatic Rifle_3.jpeg,Automatic Rifle_3.jpeg,.jpeg,41249,1,5401e0d351375c934eccb9eeb02db3b7bde60a34f785e9ab747a5bbc45dc5498
weapon_detection/train/images/Automatic Rifle_32.jpeg,Automatic Rifle_32.jpeg,.jpeg,37550,1,4632d9aeb70633cfaef57985847fcd9ce1b87a9e2ee5c08ac82d57efc6faf66b
weapon_detection/train/images/Automatic Rifle_33.jpeg,Automatic Rifle_33.jpeg,.jpeg,164071,1,9a3ca42b180a559fc1e360cfca8b800e550e23f44ffa8f1bc2526bf1652a0c9d
weapon_detection/train/images/Automatic Rifle_34.jpeg,Automatic Rifle_34.jpeg,.jpeg,208422,1,cbed5705b306dc191b389af4ee5070a53ead30830b58b2bae6ab2e99b2fcb68f
weapon_detection/train/images/Automatic Rifle_37.jpeg,Automatic Rifle_37.jpeg,.jpeg,86954,1,6c488a40bcc4825e33731c4d5a4754ebc598661b4f0bfbb9cbdbb068276c4526
weapon_detection/train/images/Automatic Rifle_38.jpeg,Automatic Rifle_38.jpeg,.jpeg,29187,1,c7dcdcac6ab6fefc00a860a4307394d9d5ce77f36138fdd2a259ec707723b293
weapon_detection/train/images/Automatic Rifle_39.jpeg,Automatic Rifle_39.jpeg,.jpeg,37302,1,8b248da929e16d136d6d378836109512af0a50c596f6c5295b98553a91459105
weapon_detection/train/images/Automatic Rifle_4.jpeg,Automatic Rifle_4.jpeg,.jpeg,164745,1,c114337677bf0aba53ccf48422f1ee164838b275052d293c62fda765170778d2
weapon_detection/train/images/Automatic Rifle_44.jpeg,Automatic Rifle_44.jpeg,.jpeg,59291,1,0f9a3e16748188b72ca00f3d510cce2a2a77515ef77ba29e3987b9bb503ea2b9
weapon_detection/train/images/Automatic Rifle_45.jpeg,Automatic Rifle_45.jpeg,.jpeg,233537,1,329c9b874b82dbdbf1d42c01185cba8b44e103b97b02659f398f050401acd10c
weapon_detection/train/images/Automatic Rifle_46.jpeg,Automatic Rifle_46.jpeg,.jpeg,136361,1,2e2aa11f47e2f689766c0eb76d2b57040ea679921d03316cfa85a91e3ac5ebf0
weapon_detection/train/images/Automatic Rifle_47.jpeg,Automatic Rifle_47.jpeg,.jpeg,26061,1,91acb224ef0420d9bda7bc2423bb642f370f9bc85687db36fbf6d0214cc4f8e4
weapon_detection/train/images/Automatic Rifle_48.png,Automatic Rifle_48.png,.png,51580,1,b2216b88f301d758ac0b528f434f6dc173f11d30856ad2a6c5d2dd4f32f7c906
weapon_detection/train/images/Automatic Rifle_49.jpeg,Automatic Rifle_49.jpeg,.jpeg,4963561,1,200dfb689a4e096f71667d40bbdf8b993135f84b0027d9df6ed6bfde94a0fc2d
weapon_detection/train/images/Automatic Rifle_5.jpeg,Automatic Rifle_5.jpeg,.jpeg,125139,1,c27d63aa78099bf560602fd5b19a605bb34737bad5158588891ed60d9e258be2
weapon_detection/train/images/Automatic Rifle_51.jpeg,Automatic Rifle_51.jpeg,.jpeg,25142,1,422f52323ab81753fc561267158e2c4f71f74d5ca214927d33e82fc8aec4f9fb
weapon_detection/train/images/Automatic Rifle_52.jpeg,Automatic Rifle_52.jpeg,.jpeg,159412,1,29656949e96a839d4a7292ebbab646b36d974ed1f4fbc8e9a1d096214f2354d3
weapon_detection/train/images/Automatic Rifle_53.jpeg,Automatic Rifle_53.jpeg,.jpeg,51468,1,25ba0532f6cfb5cbc6224d6b20d7db6ba2954e751deb9c5b3cdb8850b2311ad8
weapon_detection/train/images/Automatic Rifle_55.jpeg,Automatic Rifle_55.jpeg,.jpeg,58005,1,ad5a42fc7f4249fd01949903839ef7a5b288870f978fe67b705da4493e1026db
weapon_detection/train/images/Automatic Rifle_56.jpeg,Automatic Rifle_56.jpeg,.jpeg,29958,1,4c499ed0a64deea84293bd42fadcaff9ee980764113827b745250f0932928316
weapon_detection/train/images/Automatic Rifle_57.jpeg,Automatic Rifle_57.jpeg,.jpeg,60342,1,83dbd88e9717ef1c800b2c67aa506fbf07a587f2e76d07f71c3cc81168714190
weapon_detection/train/images/Automatic Rifle_6.jpeg,Automatic Rifle_6.jpeg,.jpeg,47579,1,81a63895319f9599680c8dc3f5e98dd15b292126893123abac48e6b2df7673fd
weapon_detection/train/images/Automatic Rifle_61.jpeg,Automatic Rifle_61.jpeg,.jpeg,41249,1,5401e0d351375c934eccb9eeb02db3b7bde60a34f785e9ab747a5bbc45dc5498
weapon_detection/train/images/Automatic Rifle_63.jpeg,Automatic Rifle_63.jpeg,.jpeg,125139,1,c27d63aa78099bf560602fd5b19a605bb34737bad5158588891ed60d9e258be2
weapon_detection/train/images/Automatic Rifle_64.jpeg,Automatic Rifle_64.jpeg,.jpeg,47579,1,81a63895319f9599680c8dc3f5e98dd15b292126893123abac48e6b2df7673fd
weapon_detection/train/images/Automatic Rifle_65.jpeg,Automatic Rifle_65.jpeg,.jpeg,12990,1,9a3cca267e932276dd92df9f89d153bec047f7d3668809603abaaa92fcadf505
weapon_detection/train/images/Automatic Rifle_66.jpeg,Automatic Rifle_66.jpeg,.jpeg,118870,1,4f42fd99271d8ab3ee1e1185f02a28d9cb90e6402bdea65fb94b84eff15873a5
weapon_detection/train/images/Automatic Rifle_67.jpeg,Automatic Rifle_67.jpeg,.jpeg,413021,1,1ee955e9abb3442b27430a0f9853938280a08eb2c894e8bbd5da0f2cb454b50e
