image_id,fold,final_label,source_dataset,source_group,source_relative_path,source_filename,prepared_relative_path,split_relative_path,sha256,md5,size_bytes,extension,sample_type,attack_family,attack_name
img_00012915,fold_1,non_weapon,03_google_scraped,google,,,images/img_00012915.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012915.jpg,0376e7b85a55f27a1e7144b26607a7d888936b806ca01e642a7829a0f8118acf,6b4f0d44c45f5a2152f81b31b6e22556,466138,.jpg,clean,none,clean
img_00012922,fold_1,non_weapon,03_google_scraped,google,,,images/img_00012922.jpg,datasets/splits/clean/fold_1/non_weapon/img_00012922.jpg,29495f52ef4c878c4974db2e904c89e3e1b2bf066c1d686f703973ab1362883f,3773d350fb78b5d94c5e0e1ab0afd2ca,45990,.jpg,clean,none,clean
img_00013086,fold_1,non_weapon,03_google_scraped,google,,,images/img_00013086.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013086.jpg,3eedc6d4b9f9be3ce53a9a7ed5df444d963d62e771c677d30f0791252bf44fb8,b03b77542816ad43eb9525329fb53db4,207893,.jpg,clean,none,clean
img_00013088,fold_1,non_weapon,03_google_scraped,google,,,images/img_00013088.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013088.jpg,ba628fd0953040e5c131844c8d0d95bde1cfe5ac0f91ffd3ecf5427b7e9dfbfd,885b247b651a46bb7286d31cf25f8d92,44220,.jpg,clean,none,clean
img_00013098,fold_1,non_weapon,03_google_scraped,google,,,images/img_00013098.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013098.jpg,3254c1867c966a96067e7049b3d7cdf4fc2e7d7a02126024a2940e2ac4cc29c3,eb60302686a8e4ca3731a2d8e02d9825,19084,.jpg,clean,none,clean
img_00013102,fold_1,non_weapon,03_google_scraped,google,,,images/img_00013102.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013102.jpg,a0b37e6407779e65acd8227da0e537a1fdea4d5a3cd72a095236e180adb29082,4eb7f3020961fdb0d6f156bc60908595,68537,.jpg,clean,none,clean
img_00013494,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,,images/img_00013494.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013494.jpg,65f9d5746f02cdca89e91ba2b5fe3eadeca3575e0375f25aad04cfc888ac31d0,abece1181f0038d18a3a13692fe16a70,98328,.jpg,clean,none,clean
img_00013495,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,,images/img_00013495.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013495.jpg,cb15ee1589d42247c35911ae203808925e6d9ce2947f45ddb4c643f6d40b6c0a,de1eeab3c54e695692edbc0a38fd171d,70203,.jpg,clean,none,clean
img_00013559,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,,images/img_00013559.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013559.jpg,df290a5954444c3f70070f7a7ad59454913198bbe81153b779f6d9ccec9c1a51,2a36c06c2cc383870f8185dd7ea3d019,102002,.jpg,clean,none,clean
img_00013614,fold_1,non_weapon,04_telegram_youtube,telegram_youtube,,,images/img_00013614.jpg,datasets/splits/clean/fold_1/non_weapon/img_00013614.jpg,37ada87f72c7005e37edd8ccb95d4dcbc2a55753f970ce68c96288cf360f8141,ee317dd0beae7c4adb610d2bdcc430bd,80127,.jpg,clean,none,clean
