tool_name,raw_export_file,run_dir,extension,is_prediction_file,status,parsed_rows,skipped_non_bundle_rows,griffeye_bookmark_rows,error
magnet_axiom,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/ExportSummary.json,FAIRLAB_AXIOM_RUN_02,.json,false,parsed_audit_only,1,0,,
magnet_axiom,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/File System Information.csv,FAIRLAB_AXIOM_RUN_02,.csv,false,parsed_audit_only,1,0,,
magnet_axiom,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/Identifiers - Device.csv,FAIRLAB_AXIOM_RUN_02,.csv,false,parsed_audit_only,20,0,,
magnet_axiom,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/Pictures.csv,FAIRLAB_AXIOM_RUN_02,.csv,true,parsed_prediction_file,11500,0,,
magnet_axiom,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/run_metadata.json,FAIRLAB_AXIOM_RUN_02,.json,false,parsed_audit_only,1,0,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_assault_rifle_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,2897,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_firearm_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,4198,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_gun_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,3445,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_handgun_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,3204,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_pistol_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,2516,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_revolver_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,1169,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_rifle_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,2502,,,
excire_foto_2025_d20,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS/excire_shotgun_distance20.csv,FAIRLAB_EXCIRE_D20_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,398,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_assault_rifle_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,4405,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_firearm_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5371,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_gun_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5046,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_handgun_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,4540,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_pistol_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,4168,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_revolver_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,2952,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_rifle_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,3650,,,
excire_foto_2025_d50,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS/excire_shotgun_distance50.csv,FAIRLAB_EXCIRE_D50_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,1944,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_assault_rifle_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5671,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_firearm_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,6070,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_gun_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,6121,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_handgun_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5611,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_pistol_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5534,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_revolver_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5022,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_rifle_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,5044,,,
excire_foto_2025_d80,forensic_tools/excire_foto_2025/raw_exports/FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS/excire_shotgun_distance80.csv,FAIRLAB_EXCIRE_D80_FIREARM_PROMPTS,.csv,true,parsed_prediction_file,4663,,,
cellebrite_inseyets,forensic_tools/cellebrite_inseyets/raw_exports/FAIRLAB_CELLEBRITE_INSEYETS_RUN_01/cellebrite_inseyets_2026-06-05_Rapporto.xlsx,FAIRLAB_CELLEBRITE_INSEYETS_RUN_01,.xlsx,true,parsed_prediction_file,11829,0,,
griffeye,forensic_tools/griffeye/raw_exports/FAIRLAB_GRIFFEYE_T3_RUN_01/griffeye_t3_export.csv,FAIRLAB_GRIFFEYE_T3_RUN_01,.csv,true,parsed_prediction_file,12053,553,8766,
