run_tag,case_id,created_at,selection_strategy,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,input_relative_path,ig_output_path,attribution_target_index,attribution_target_label,method,n_steps
efficientnet_b0_all_thr_0_90,xai_case_0001,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_3,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00013521,img_00013521__sigma_zero__efficientnet_b0,img_00013521__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/non_weapon/img_00013521__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0001__img_00013521__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0002,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_1,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00014644,img_00014644__sigma_zero__efficientnet_b0,img_00014644__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00014644__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0002__img_00014644__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0003,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_3,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00013561,img_00013561__sigma_zero__efficientnet_b0,img_00013561__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/non_weapon/img_00013561__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0003__img_00013561__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0004,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_3,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00012884,img_00012884__sigma_zero__efficientnet_b0,img_00012884__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/non_weapon/img_00012884__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0004__img_00012884__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0005,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_3,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00012897,img_00012897__sigma_zero__efficientnet_b0,img_00012897__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/non_weapon/img_00012897__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0005__img_00012897__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0006,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_5,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00014665,img_00014665__sigma_zero__efficientnet_b0,img_00014665__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_5/non_weapon/img_00014665__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0006__img_00014665__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0007,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_1,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00014827,img_00014827__sigma_zero__efficientnet_b0,img_00014827__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00014827__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0007__img_00014827__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0008,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_1,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00014803,img_00014803__sigma_zero__efficientnet_b0,img_00014803__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_1/non_weapon/img_00014803__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0008__img_00014803__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0009,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_3,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00013613,img_00013613__sigma_zero__efficientnet_b0,img_00013613__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_3/non_weapon/img_00013613__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0009__img_00013613__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
efficientnet_b0_all_thr_0_90,xai_case_0010,2026-05-11T19:24:27+00:00,all,efficientnet_b0,fold_5,perturbed,adversarial,sigma_zero,non_weapon,weapon,1.0,False,True,img_00014765,img_00014765__sigma_zero__efficientnet_b0,img_00014765__sigma_zero__efficientnet_b0,attacks/adversarial/sigma_zero/efficientnet_b0/fold_5/non_weapon/img_00014765__sigma_zero__efficientnet_b0.png,explainability/outputs/integrated_gradients/efficientnet_b0_all_thr_0_90/efficientnet_b0/sigma_zero/xai_case_0010__img_00014765__sigma_zero__efficientnet_b0.png,0,non_weapon,Integrated Gradients,32
