run_tag,case_id,created_at,selection_strategy,case_bucket,xai_selection_reason,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,final_label,prediction,confidence,correct,clean_correct,original_image_id,generated_image_id,sample_id,input_relative_path,manual_selected,selection_rank,reviewer_id,review_timestamp,ig_output_path,input_png_path,ig_overlay_path,ig_heatmap_path,ig_comparison_path,ig_mask_path,ig_top_percentile_mask_path,ig_distribution_path,attribution_target_mode,attribution_target_role,attribution_target_index,attribution_target_label,convergence_delta,abs_convergence_delta,top_percentile,top_percentile_threshold,method,n_steps
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0001,2026-05-23T08:10:49+00:00,chapter5_core,clean_correct_weapon,Clean weapon image correctly classified as weapon.,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,1.0,True,True,img_00012716,img_00012716,img_00012716,datasets/splits/clean/fold_5/weapon/img_00012716.jpg,True,1.0,Lello,2026-05-23T08:11:06+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0001__img_00012716/xai_case_0001__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,0.18177032470703125,0.18177032470703125,90.0,0.03923678398132324,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0002,2026-05-23T08:10:49+00:00,chapter5_core,clean_correct_weapon,Clean weapon image correctly classified as weapon.,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999994039535522,True,True,img_00003524,img_00003524,img_00003524,datasets/splits/clean/fold_5/weapon/img_00003524.jpg,True,2.0,Lello,2026-05-23T08:11:12+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0002__img_00003524/xai_case_0002__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,-0.038725852966308594,0.038725852966308594,90.0,0.09165128320455551,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0003,2026-05-23T08:10:49+00:00,chapter5_core,clean_correct_weapon,Clean weapon image correctly classified as weapon.,efficientnet_b0,fold_5,clean,none,clean,weapon,weapon,0.9999961853027344,True,True,img_00000156,img_00000156,img_00000156,datasets/splits/clean/fold_5/weapon/img_00000156.jpeg,True,3.0,Lello,2026-05-23T08:11:27+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0003__img_00000156/xai_case_0003__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,-0.16464662551879883,0.16464662551879883,90.0,0.08053752779960632,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0004,2026-05-23T08:10:49+00:00,chapter5_core,clean_false_negative_weapon,Clean weapon image incorrectly classified as non_weapon.,efficientnet_b0,fold_3,clean,none,clean,weapon,non_weapon,0.7977629899978638,False,False,img_00000324,img_00000324,img_00000324,datasets/splits/clean/fold_3/weapon/img_00000324.jpeg,True,4.0,Lello,2026-05-23T08:11:35+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0004__img_00000324/xai_case_0004__predicted_label_non_weapon__distribution.png,predicted_label,predicted_label,0,non_weapon,-0.024458974599838257,0.024458974599838257,90.0,0.0663951113820076,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0005,2026-05-23T08:10:49+00:00,chapter5_core,clean_false_negative_weapon,Clean weapon image incorrectly classified as non_weapon.,efficientnet_b0,fold_2,clean,none,clean,weapon,non_weapon,0.788966953754425,False,False,img_00012777,img_00012777,img_00012777,datasets/splits/clean/fold_2/weapon/img_00012777.jpg,True,5.0,Lello,2026-05-23T08:11:36+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0005__img_00012777/xai_case_0005__predicted_label_non_weapon__distribution.png,predicted_label,predicted_label,0,non_weapon,0.0359494686126709,0.0359494686126709,90.0,0.16026154160499573,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0006,2026-05-23T08:10:49+00:00,chapter5_core,clean_false_negative_weapon,Clean weapon image incorrectly classified as non_weapon.,efficientnet_b0,fold_2,clean,none,clean,weapon,non_weapon,0.6920745372772217,False,False,img_00000003,img_00000003,img_00000003,datasets/splits/clean/fold_2/weapon/img_00000003.jpg,True,6.0,Lello,2026-05-23T08:11:36+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/clean/xai_case_0006__img_00000003/xai_case_0006__predicted_label_non_weapon__distribution.png,predicted_label,predicted_label,0,non_weapon,0.29688191413879395,0.29688191413879395,90.0,0.0912586897611618,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0007,2026-05-23T08:10:49+00:00,chapter5_core,ood_as_weapon,Out-of-distribution image classified as weapon with high confidence.,efficientnet_b0,fold_1,ood,none,ood,ood,weapon,0.9999839067459106,,,img_00013734,img_00013734,img_00013734,datasets/splits/ood/ood_eval_set/ood/img_00013734.jpg,True,7.0,Lello,2026-05-23T08:11:47+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0007__img_00013734/xai_case_0007__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,0.14968585968017578,0.14968585968017578,90.0,0.053820304572582245,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0008,2026-05-23T08:10:49+00:00,chapter5_core,ood_as_weapon,Out-of-distribution image classified as weapon with high confidence.,efficientnet_b0,fold_1,ood,none,ood,ood,weapon,0.9993919134140016,,,img_00015067,img_00015067,img_00015067,datasets/splits/ood/ood_eval_set/ood/img_00015067.webp,True,8.0,Lello,2026-05-23T08:11:54+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0008__img_00015067/xai_case_0008__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,-0.9457502365112305,0.9457502365112305,90.0,0.19629105925559998,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0009,2026-05-23T08:10:49+00:00,chapter5_core,ood_as_weapon,Out-of-distribution image classified as weapon with high confidence.,efficientnet_b0,fold_2,ood,none,ood,ood,weapon,0.9990302324295044,,,img_00014615,img_00014615,img_00014615,datasets/splits/ood/ood_eval_set/ood/img_00014615.jpeg,True,9.0,Lello,2026-05-23T08:11:59+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/ood/xai_case_0009__img_00014615/xai_case_0009__predicted_label_weapon__distribution.png,predicted_label,predicted_label,1,weapon,-0.42431211471557617,0.42431211471557617,90.0,0.03022046387195587,Integrated Gradients,32
efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final,xai_case_0010,2026-05-23T08:10:49+00:00,chapter5_core,anti_forensic_failure,Anti-forensic transformation caused an operational misclassification.,efficientnet_b0,fold_2,perturbed,anti_forensic,histogram_modification,weapon,non_weapon,0.8515904545783997,False,True,img_00013599,img_00013599__histogram_modification,img_00013599__histogram_modification,attacks/anti_forensic/histogram_modification/fold_2/weapon/img_00013599__histogram_modification.jpg,True,10.0,Lello,2026-05-23T08:12:26+00:00,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__input.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__overlay.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__heatmap.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__comparison.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__top10_mask.png,explainability/outputs/integrated_gradients/efficientnet_b0_chapter5_core_candidates_per_bucket_500_manual_per_bucket_3_target_predicted_label_chapter5_separate_assets_final/efficientnet_b0/histogram_modification/xai_case_0010__img_00013599_histogram_modification/xai_case_0010__predicted_label_non_weapon__distribution.png,predicted_label,predicted_label,0,non_weapon,1.249298334121704,1.249298334121704,90.0,0.08421553671360016,Integrated Gradients,32
