Record,Tags,Comments,Identifier,Column Name,Artifact,Artifact ID,Source,Location,Evidence number,Deleted source,Recovery method,Item ID
1,,,EG031671,Camera Serial Number,Pictures,135,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000137.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,136
2,,,3021687,Camera Serial Number,Pictures,143,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000139.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,144
3,,,023051000527,Camera Serial Number,Pictures,318,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000312.jpeg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,319
4,,,0000005e74,Lens Serial Number,Pictures,318,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000312.jpeg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,320
5,,,142066011712,Camera Serial Number,Pictures,328,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000325.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,329
6,,,0000e051e9,Lens Serial Number,Pictures,328,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000325.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,330
7,,,072012000383,Camera Serial Number,Pictures,535,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000507.jpeg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,536
8,,,0000c1594e,Lens Serial Number,Pictures,535,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000507.jpeg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,537
9,,,192063079314,Camera Serial Number,Pictures,757,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000755.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,759
10,,,00000f4150,Lens Serial Number,Pictures,757,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip\D\msc-thesis-ai-robustness-in-digital-forensics\datasets\forensic_evaluation_bundle\blind_tool_input\files\bundle_000755.jpg,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,,760
