tool_name,bundle_id,sample_type,attack_family,attack_name,final_label,weapon_detected,normalized_prediction,firearm_bookmark,secondary_weapon_bookmarks
griffeye,bundle_000001,clean,none,clean,non_weapon,false,non_weapon,false,CORE/Military/Military Equipment
griffeye,bundle_000002,clean,none,clean,non_weapon,false,non_weapon,false,CORE/Military/Military Equipment
griffeye,bundle_000003,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000004,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000005,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000006,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000007,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000008,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000009,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000010,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000011,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000012,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000013,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000014,clean,none,clean,non_weapon,false,non_weapon,false,CORE/Military/Military Equipment
griffeye,bundle_000015,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000016,clean,none,clean,non_weapon,false,non_weapon,false,CORE/Military/Military Equipment
griffeye,bundle_000017,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000018,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000019,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000020,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000021,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000022,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000023,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000024,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000025,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000026,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000027,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000028,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000029,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000030,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000031,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000032,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000033,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000034,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000035,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000036,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000037,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000038,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000039,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000040,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000041,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000042,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000043,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000044,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000045,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000046,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000047,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000048,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000049,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000050,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000051,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000052,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000053,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000054,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000055,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000056,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000057,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000058,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000059,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000060,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000061,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000062,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000063,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000064,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000065,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000066,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000067,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000068,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000069,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000070,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000071,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000072,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000073,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000074,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000075,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000076,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000077,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000078,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000079,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000080,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000081,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000082,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000083,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000084,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000085,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000086,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000087,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000088,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000089,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000090,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000091,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000092,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000093,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000094,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000095,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000096,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000097,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000098,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000099,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000100,clean,none,clean,non_weapon,false,non_weapon,false,
griffeye,bundle_000101,clean,none,clean,weapon,true,weapon,true,CORE/Military/Military Equipment
griffeye,bundle_000102,clean,none,clean,weapon,true,weapon,true,
