Record,Tags,Comments,Category,Series,Image,File Name,File Extension,Created Date/Time - UTC+00:00 (dd/MM/yyyy),Last Accessed Date/Time - UTC+00:00 (dd/MM/yyyy),Last Modified Date/Time - UTC+00:00 (dd/MM/yyyy),Size (Bytes),Skin Tone Percentage,Original Width,Original Height,Exif Extraction Status,Created Date/Time - Local Time (yyyy-mm-dd),Date/Time Original - Local Time (yyyy-mm-dd),Modified Date/Time - Local Time,Timezone,Software,Make,Model,Camera Serial Number,Lens Model,Lens Serial Number,Latitude,GPS Latitude,GPS Latitude Reference,Longitude,GPS Longitude,GPS Longitude Reference,Altitude (meters),Exif Data,MD5 Hash,SHA1 Hash,PhotoDNA Hash,_rawData,_externalFiles,Source,Location,Evidence number,Deleted source,Recovery method,Item ID
1,,,,,.\Attachments\bundle_000009.jpg,bundle_000009.jpg,.jpg,20/05/2026 17:14:12.830,20/05/2026 17:14:12.000,18/05/2026 15:12:54.000,102002,0.8,635,1280,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 635
ImageHeight: 1280",2a36c06c2cc383870f8185dd7ea3d019,0c41caa11f840e6faee91f28818831848bce9ecb,,,.\Attachments\bundle_000009.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000009.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,2
2,,,,,.\Attachments\bundle_000006.jpg,bundle_000006.jpg,.jpg,20/05/2026 17:14:12.160,20/05/2026 17:14:12.000,18/05/2026 15:12:52.000,68537,23.5,1200,1199,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 1200
ImageHeight: 1199",4eb7f3020961fdb0d6f156bc60908595,9156912d2c7eae38549b8075a522a97f2f771bae,,,.\Attachments\bundle_000006.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000006.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,3
3,,,,,.\Attachments\bundle_000004.jpg,bundle_000004.jpg,.jpg,20/05/2026 17:14:11.620,20/05/2026 17:14:10.000,18/05/2026 15:12:52.000,44220,8.4,1050,1050,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 1050
ImageHeight: 1050",885b247b651a46bb7286d31cf25f8d92,331929de5b668752d90abb436fcafa865cf5d4fd,,,.\Attachments\bundle_000004.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000004.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,4
4,,,,,.\Attachments\bundle_000008.jpg,bundle_000008.jpg,.jpg,20/05/2026 17:14:12.680,20/05/2026 17:14:12.000,18/05/2026 15:12:54.000,70203,7.8,900,596,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 900
ImageHeight: 596",de1eeab3c54e695692edbc0a38fd171d,36eac3a77a800d77be5a29141171163738d5e0a7,,,.\Attachments\bundle_000008.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000008.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,5
5,,,,,.\Attachments\bundle_000002.jpg,bundle_000002.jpg,.jpg,20/05/2026 17:14:11.320,20/05/2026 17:14:10.000,18/05/2026 15:12:52.000,45990,0.0,1000,1000,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 1000
ImageHeight: 1000",3773d350fb78b5d94c5e0e1ab0afd2ca,60a68bff52970d99818f0fa2b1592962610efba5,,,.\Attachments\bundle_000002.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000002.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,6
6,,,,,.\Attachments\bundle_000005.jpg,bundle_000005.jpg,.jpg,20/05/2026 17:14:11.770,20/05/2026 17:14:10.000,18/05/2026 15:12:52.000,19084,1.2,600,600,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 600
ImageHeight: 600",eb60302686a8e4ca3731a2d8e02d9825,f2d316a8620d1c4716a04efbaeeca88aa3930350,,,.\Attachments\bundle_000005.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000005.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,7
7,,,,,.\Attachments\bundle_000007.jpg,bundle_000007.jpg,.jpg,20/05/2026 17:14:12.380,20/05/2026 17:14:12.000,18/05/2026 15:12:52.000,98328,21.8,900,594,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 900
ImageHeight: 594",abece1181f0038d18a3a13692fe16a70,13dda87d0f2baf55f7160f213fa5008cfd300a08,,,.\Attachments\bundle_000007.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000007.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,8
8,,,,,.\Attachments\bundle_000011.jpg,bundle_000011.jpg,.jpg,20/05/2026 17:14:12.990,20/05/2026 17:14:12.000,18/05/2026 15:12:54.000,80067,71.1,735,651,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 735
ImageHeight: 651",2c9850e81ec33029c4ea279a61247105,a64a3b1ccbc20b636fbbbbdd70f1d222f56f8c8c,,,.\Attachments\bundle_000011.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000011.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,9
9,,,,,.\Attachments\bundle_000010.jpg,bundle_000010.jpg,.jpg,20/05/2026 17:14:12.850,20/05/2026 17:14:12.000,18/05/2026 15:12:54.000,80127,44.1,736,583,Complete,,,,,,,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 736
ImageHeight: 583",ee317dd0beae7c4adb610d2bdcc430bd,6352602f9897d5cb8f9c354f00d5de38d2a6a02c,,,.\Attachments\bundle_000010.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000010.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,10
10,,,,,.\Attachments\bundle_000003.jpg,bundle_000003.jpg,.jpg,20/05/2026 17:14:11.460,20/05/2026 17:14:10.000,18/05/2026 15:12:52.000,207893,0.2,1000,1000,Complete,2020-07-02 11:37:33.000,,2023-02-04 19:58:08.000,,Adobe Photoshop CC 2017 (Windows),,,,,,,,,,,,,"Extraction Result: Complete
ImageWidth: 1000
ImageHeight: 1000
CreateDate: 2020/07/02 11:37:33
ModifyDate: 2023/02/04 19:58:08
Software: Adobe Photoshop CC 2017 (Windows)",b03b77542816ad43eb9525329fb53db4,fc413206e71f5aa38ab74cf7a82901fcd982735a,,,.\Attachments\bundle_000003.jpg,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000003.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,Parsing,11
