Record,Tags,Comments,Identifier,Column Name,Artifact,Artifact ID,Source,Location,Evidence number,Deleted source,Recovery method,Item ID
1,,,EG031671,Camera Serial Number,Pictures,137,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000137.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,139
2,,,3021687,Camera Serial Number,Pictures,142,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000139.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,143
3,,,023051000527,Camera Serial Number,Pictures,318,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000312.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,319
4,,,0000005e74,Lens Serial Number,Pictures,318,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000312.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,320
5,,,142066011712,Camera Serial Number,Pictures,329,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000325.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,330
6,,,0000e051e9,Lens Serial Number,Pictures,329,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000325.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,331
7,,,072012000383,Camera Serial Number,Pictures,538,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000507.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,539
8,,,0000c1594e,Lens Serial Number,Pictures,538,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000507.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,540
9,,,192063079314,Camera Serial Number,Pictures,756,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000755.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,757
10,,,00000f4150,Lens Serial Number,Pictures,756,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000755.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,758
11,,,148055002276,Camera Serial Number,Pictures,761,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000758.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,763
12,,,0000068153,Lens Serial Number,Pictures,761,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000758.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,764
13,,,720506628,Camera Serial Number,Pictures,949,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000939.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,950
14,,,2017929,Camera Serial Number,Pictures,960,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000931.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,961
15,,,2011670,Camera Serial Number,Pictures,962,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_000948.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,963
16,,,093031013087,Camera Serial Number,Pictures,1114,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_001100.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,1115
17,,,0000000000,Lens Serial Number,Pictures,1114,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_001100.jpeg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,1116
18,,,158056000538,Camera Serial Number,Pictures,1392,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_001372.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,1393
19,,,0000047a26,Lens Serial Number,Pictures,1392,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_001372.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,1394
20,,,00000ae814,Lens Serial Number,Pictures,1404,SanDisk Ultra USB Device 14.91 GB Full Image.zip\blind_tool_input\files\bundle_001383.jpg,n/a,SanDisk Ultra USB Device 14.91 GB Full Image,,,1405
