model_name,fold,checkpoint_path,checkpoint_sha256,train_images,validation_images,holdout_images,best_validation_accuracy,last_epoch,created_at
resnet18,fold_1,models/checkpoints/resnet18/fold_1.pt,faf898a9fec3e9ef3d691aa93d6d6c5f145f27bbf2f585c4bcd22cbab236d828,680,120,200,0.9583333333333334,"{""epoch"": 10, ""train_accuracy"": 0.9926470588235294, ""train_loss"": 0.02419215809786692, ""validation_accuracy"": 0.9333333333333333, ""validation_loss"": 0.35129177644848825}",2026-05-05T00:01:51+00:00
resnet18,fold_2,models/checkpoints/resnet18/fold_2.pt,ae985687404b80572830482a31a1ecf563f60df54619aab770abb48401782814,680,120,200,0.9666666666666667,"{""epoch"": 10, ""train_accuracy"": 0.9985294117647059, ""train_loss"": 0.005457639132681138, ""validation_accuracy"": 0.925, ""validation_loss"": 0.15092710872801643}",2026-05-05T00:10:41+00:00
resnet18,fold_3,models/checkpoints/resnet18/fold_3.pt,cf308cfa5677dcbf90b92f4bde54002854e9a1fdc85f910cd1dee0ef2054e238,680,120,200,0.9416666666666667,"{""epoch"": 10, ""train_accuracy"": 0.9985294117647059, ""train_loss"": 0.010635104572044357, ""validation_accuracy"": 0.925, ""validation_loss"": 0.20430060029029845}",2026-05-05T00:18:28+00:00
resnet18,fold_4,models/checkpoints/resnet18/fold_4.pt,4817e523b1ab65c35013e2de2b0f9afc5a13ead5a97e34cbf3fc6f7c8fb16e26,680,120,200,0.9583333333333334,"{""epoch"": 10, ""train_accuracy"": 0.9926470588235294, ""train_loss"": 0.024206270528135492, ""validation_accuracy"": 0.925, ""validation_loss"": 0.29189459575961035}",2026-05-05T00:26:13+00:00
resnet18,fold_5,models/checkpoints/resnet18/fold_5.pt,57d2a34d6d2e773e834919dc0f7cde989d5c26cc812347009cdee113ea786980,680,120,200,0.975,"{""epoch"": 10, ""train_accuracy"": 0.9926470588235294, ""train_loss"": 0.027903539384715258, ""validation_accuracy"": 0.9083333333333333, ""validation_loss"": 0.22822978695233662}",2026-05-05T00:33:56+00:00
efficientnet_b0,fold_1,models/checkpoints/efficientnet_b0/fold_1.pt,46d1fd9ccfebf39a370169d94cd374212a8ca7cb24a6502cc9adf283b1191ff6,680,120,200,0.975,"{""epoch"": 10, ""train_accuracy"": 0.9941176470588236, ""train_loss"": 0.01571255554582047, ""validation_accuracy"": 0.9666666666666667, ""validation_loss"": 0.12622655779123307}",2026-05-05T00:42:04+00:00
efficientnet_b0,fold_2,models/checkpoints/efficientnet_b0/fold_2.pt,59fef93da20f0f8b6598e3653485e9feb8ed0e9ded97db52ae6e415175f517e5,680,120,200,0.975,"{""epoch"": 10, ""train_accuracy"": 0.986764705882353, ""train_loss"": 0.05096306317924138, ""validation_accuracy"": 0.9666666666666667, ""validation_loss"": 0.08712521182994047}",2026-05-05T00:50:13+00:00
efficientnet_b0,fold_3,models/checkpoints/efficientnet_b0/fold_3.pt,f69a156a8ad2b85cd7385c2cce5c7590393837622388928aa398520e7fafb963,680,120,200,0.9583333333333334,"{""epoch"": 10, ""train_accuracy"": 0.9985294117647059, ""train_loss"": 0.011255937307963476, ""validation_accuracy"": 0.95, ""validation_loss"": 0.1282607610647877}",2026-05-05T00:58:18+00:00
efficientnet_b0,fold_4,models/checkpoints/efficientnet_b0/fold_4.pt,47d3472b328770f2ffd11f0d8883e6493bed36f3f3d0ca680adc583ac9c2787a,680,120,200,0.9833333333333333,"{""epoch"": 10, ""train_accuracy"": 0.9955882352941177, ""train_loss"": 0.014753793325165616, ""validation_accuracy"": 0.9166666666666666, ""validation_loss"": 0.18108311270674068}",2026-05-05T01:06:25+00:00
efficientnet_b0,fold_5,models/checkpoints/efficientnet_b0/fold_5.pt,f28a8ed6ee0cd6d77c2a38f9d0315970b360915d3ce76326932011ff850147dc,680,120,200,0.975,"{""epoch"": 10, ""train_accuracy"": 0.9926470588235294, ""train_loss"": 0.020682702920235257, ""validation_accuracy"": 0.9666666666666667, ""validation_loss"": 0.09352307251344125}",2026-05-05T01:14:32+00:00
clip,fold_1,models/checkpoints/clip/fold_1.pt,12b68c964e111044f2e36a7da815d47a7135f6fbaa8a751cf3182cb5293bb98b,680,120,200,0.8416666666666667,"{""epoch"": 10, ""train_accuracy"": 0.8852941176470588, ""train_loss"": 0.5846914936514461, ""validation_accuracy"": 0.8416666666666667, ""validation_loss"": 0.5837343851725261}",2026-05-05T01:21:14+00:00
clip,fold_2,models/checkpoints/clip/fold_2.pt,c3acc87c3cea4b018f8641d0a68226fc7d3a37c83a429acc5a1c9afd148f21b6,680,120,200,0.95,"{""epoch"": 10, ""train_accuracy"": 0.9470588235294117, ""train_loss"": 0.5781800220994389, ""validation_accuracy"": 0.95, ""validation_loss"": 0.578501303990682}",2026-05-05T01:27:15+00:00
clip,fold_3,models/checkpoints/clip/fold_3.pt,805b638717159082e268f1f00d7b6a43d43f16ddb6bab89c12a1072aef7bccee,680,120,200,0.9333333333333333,"{""epoch"": 10, ""train_accuracy"": 0.9485294117647058, ""train_loss"": 0.5773177034714643, ""validation_accuracy"": 0.9333333333333333, ""validation_loss"": 0.5742219090461731}",2026-05-05T01:33:14+00:00
clip,fold_4,models/checkpoints/clip/fold_4.pt,0880f83539393270dd2a3dfe29d4ad67d8f80f1ba680067a8ca7e841ff518ac1,680,120,200,0.975,"{""epoch"": 10, ""train_accuracy"": 0.9705882352941176, ""train_loss"": 0.5811060421607074, ""validation_accuracy"": 0.9416666666666667, ""validation_loss"": 0.5808515389760335}",2026-05-05T01:39:12+00:00
clip,fold_5,models/checkpoints/clip/fold_5.pt,8dd78f694599d704ea23b1636bb455b1bca15ba1063d1677de773bcc86623b49,680,120,200,0.9083333333333333,"{""epoch"": 10, ""train_accuracy"": 0.9352941176470588, ""train_loss"": 0.583156967163086, ""validation_accuracy"": 0.9083333333333333, ""validation_loss"": 0.5867772658665975}",2026-05-05T01:45:12+00:00
