figure_id,figure_type,source_csv,output_path,format,created_at
fig_clean_confusion_matrix_efficientnet_b0,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_efficientnet_b0.pdf,pdf,2026-05-21T17:06:55+00:00
fig_clean_confusion_matrix_efficientnet_b0,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_efficientnet_b0.png,png,2026-05-21T17:06:55+00:00
fig_clean_confusion_matrix_resnet18,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_resnet18.pdf,pdf,2026-05-21T17:06:55+00:00
fig_clean_confusion_matrix_resnet18,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_resnet18.png,png,2026-05-21T17:06:55+00:00
fig_clean_confusion_matrix_clip,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_clip.pdf,pdf,2026-05-21T17:06:56+00:00
fig_clean_confusion_matrix_clip,clean_confusion_matrix,results/metrics/final_confusion_matrices.csv,results/figures/chapter_5/fig_clean_confusion_matrix_clip.png,png,2026-05-21T17:06:56+00:00
fig_ood_weapon_rate_and_confidence,ood_summary,results/metrics/final_ood_metrics.csv,results/figures/chapter_5/fig_ood_weapon_rate_and_confidence.pdf,pdf,2026-05-21T17:06:57+00:00
fig_ood_weapon_rate_and_confidence,ood_summary,results/metrics/final_ood_metrics.csv,results/figures/chapter_5/fig_ood_weapon_rate_and_confidence.png,png,2026-05-21T17:06:57+00:00
fig_ood_confidence_distribution,ood_confidence_distribution,evaluation/proxy_models/proxy_model_predictions.csv,results/figures/chapter_5/fig_ood_confidence_distribution.pdf,pdf,2026-05-21T17:06:57+00:00
fig_ood_confidence_distribution,ood_confidence_distribution,evaluation/proxy_models/proxy_model_predictions.csv,results/figures/chapter_5/fig_ood_confidence_distribution.png,png,2026-05-21T17:06:57+00:00
fig_anti_forensic_accuracy_drop_heatmap,anti_forensic_accuracy_drop_heatmap,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_anti_forensic_accuracy_drop_heatmap.pdf,pdf,2026-05-21T17:06:58+00:00
fig_anti_forensic_accuracy_drop_heatmap,anti_forensic_accuracy_drop_heatmap,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_anti_forensic_accuracy_drop_heatmap.png,png,2026-05-21T17:06:58+00:00
fig_adversarial_accuracy_drop_heatmap,adversarial_accuracy_drop_heatmap,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_adversarial_accuracy_drop_heatmap.pdf,pdf,2026-05-21T17:06:59+00:00
fig_adversarial_accuracy_drop_heatmap,adversarial_accuracy_drop_heatmap,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_adversarial_accuracy_drop_heatmap.png,png,2026-05-21T17:06:59+00:00
fig_max_accuracy_drop_by_model,max_accuracy_drop_by_model,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_max_accuracy_drop_by_model.pdf,pdf,2026-05-21T17:06:59+00:00
fig_max_accuracy_drop_by_model,max_accuracy_drop_by_model,results/metrics/final_robustness_metrics.csv,results/figures/chapter_5/fig_max_accuracy_drop_by_model.png,png,2026-05-21T17:06:59+00:00
