bundle_id,suffix,sensitive_hits,sensitive_hit_count,tool_name,tool_display,sample_type,attack_family,attack_name,final_label,normalized_prediction,weapon_detected,correct,false_negative,false_positive
bundle_000003,.jpg,gun,1,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000003,.jpg,gun,1,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000003,.jpg,gun,1,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000003,.jpg,gun,1,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000003,.jpg,gun,1,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000003,.jpg,gun,1,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,non_weapon,non_weapon,False,True,False,False
bundle_000139,.jpg,gun,1,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000139,.jpg,gun,1,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000139,.jpg,gun,1,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000139,.jpg,gun,1,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000139,.jpg,gun,1,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000139,.jpg,gun,1,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000148,.png,gun;knife;weapon,3,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000312,.jpeg,bullets;handgun;pistol,3,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000320,.jpeg,contrast;firearm;gun;rifle;weapon,5,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000506,.jpeg,gun,1,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000506,.jpeg,gun,1,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000506,.jpeg,gun,1,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000506,.jpeg,gun,1,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000506,.jpeg,gun,1,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000506,.jpeg,gun,1,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000507,.jpeg,firearm;firearms;gun;handgun,4,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000716,.jpeg,ammunition;shotgun;weapon,3,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000758,.jpg,ammunition;bullet;contrast;gun;handgun;murder;pistol;weapon,8,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000939,.jpg,contrast,1,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000948,.jpg,gun;handgun;pistol,3,magnet_axiom,Magnet AXIOM / Magnet.AI,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000948,.jpg,gun;handgun;pistol,3,excire_foto_2025_d20,Excire Foto 2025 D20,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000948,.jpg,gun;handgun;pistol,3,excire_foto_2025_d50,Excire Foto 2025 D50,clean,none,clean,weapon,non_weapon,False,False,True,False
bundle_000948,.jpg,gun;handgun;pistol,3,excire_foto_2025_d80,Excire Foto 2025 D80,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000948,.jpg,gun;handgun;pistol,3,cellebrite_inseyets,Cellebrite Inseyets,clean,none,clean,weapon,weapon,True,True,False,False
bundle_000948,.jpg,gun;handgun;pistol,3,griffeye,Magnet Griffeye / T3K CORE,clean,none,clean,weapon,weapon,True,True,False,False
bundle_001011,.jpeg,ammunition;bazooka;firearm;gun;handgun;launcher;rifle;rocket launcher;weapon,9,magnet_axiom,Magnet AXIOM / Magnet.AI,ood,none,ood,ood,weapon,True,False,False,False
bundle_001011,.jpeg,ammunition;bazooka;firearm;gun;handgun;launcher;rifle;rocket launcher;weapon,9,excire_foto_2025_d20,Excire Foto 2025 D20,ood,none,ood,ood,weapon,True,False,False,False
