tool_name,tool_display,scope,sample_type,attack_family,accuracy,balanced_accuracy,precision_weapon,recall_weapon,false_negative_rate,false_positive_rate,tp,fp,tn,fn,ood_rows,ood_weapon_flags,ood_weapon_flag_rate
cellebrite_inseyets,Cellebrite Inseyets,attack_family,all,adversarial,0.955,0.955,0.959225,0.9504,0.0496,0.0404,2376,101,2399,124,0,0,
cellebrite_inseyets,Cellebrite Inseyets,attack_family,all,anti_forensic,0.96,0.96,0.957075,0.9632,0.0368,0.0432,2408,108,2392,92,0,0,
excire_foto_2025_d20,Excire D20,attack_family,all,adversarial,0.8916,0.8916,0.942186,0.8344,0.1656,0.0512,2086,128,2372,414,0,0,
excire_foto_2025_d20,Excire D20,attack_family,all,anti_forensic,0.9266,0.9266,0.975479,0.8752,0.1248,0.022,2188,55,2445,312,0,0,
excire_foto_2025_d50,Excire D50,attack_family,all,adversarial,0.9038,0.9038,0.877948,0.938,0.062,0.1304,2345,326,2174,155,0,0,
excire_foto_2025_d50,Excire D50,attack_family,all,anti_forensic,0.9414,0.9414,0.927879,0.9572,0.0428,0.0744,2393,186,2314,107,0,0,
excire_foto_2025_d80,Excire D80,attack_family,all,adversarial,0.8608,0.8608,0.792667,0.9772,0.0228,0.2556,2443,639,1861,57,0,0,
excire_foto_2025_d80,Excire D80,attack_family,all,anti_forensic,0.9078,0.9078,0.853625,0.9844,0.0156,0.1688,2461,422,2078,39,0,0,
griffeye,Magnet Griffeye / T3K CORE,attack_family,all,adversarial,0.9686,0.9686,0.991607,0.9452,0.0548,0.008,2363,20,2480,137,0,0,
griffeye,Magnet Griffeye / T3K CORE,attack_family,all,anti_forensic,0.9736,0.9736,0.993333,0.9536,0.0464,0.0064,2384,16,2484,116,0,0,
magnet_axiom,Magnet AXIOM / Magnet.AI,attack_family,all,adversarial,0.9232,0.9232,0.958803,0.8844,0.1156,0.038,2211,95,2405,289,0,0,
magnet_axiom,Magnet AXIOM / Magnet.AI,attack_family,all,anti_forensic,0.9402,0.9402,0.965722,0.9128,0.0872,0.0324,2282,81,2419,218,0,0,
