tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
cellebrite_inseyets,all,all,all,all,11500,11500,11000,11000,0,5268,229,5271,232,0.958091,0.958091,0.958341,0.957818,0.958364,0.958079,0.042182,0.041636,500,146,354,0,0.292000
cellebrite_inseyets,sample_type,clean,all,all,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,146,354,0,0.292000
cellebrite_inseyets,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4784,209,4791,216,0.957500,0.957500,0.958141,0.956800,0.958200,0.957470,0.043200,0.041800,0,0,0,0,
cellebrite_inseyets,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2376,101,2399,124,0.955000,0.955000,0.959225,0.950400,0.959600,0.954792,0.049600,0.040400,0,0,0,0,
cellebrite_inseyets,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2408,108,2392,92,0.960000,0.960000,0.957075,0.963200,0.956800,0.960128,0.036800,0.043200,0,0,0,0,
cellebrite_inseyets,attack_family,all,none,all,1500,1500,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,500,146,354,0,0.292000
cellebrite_inseyets,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,447,29,471,53,0.918000,0.918000,0.939076,0.894000,0.942000,0.915984,0.106000,0.058000,0,0,0,0,
cellebrite_inseyets,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,484,22,478,16,0.962000,0.962000,0.956522,0.968000,0.956000,0.962227,0.032000,0.044000,0,0,0,0,
cellebrite_inseyets,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,479,9,491,21,0.970000,0.970000,0.981557,0.958000,0.982000,0.969636,0.042000,0.018000,0,0,0,0,
cellebrite_inseyets,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,482,21,479,18,0.961000,0.961000,0.958250,0.964000,0.958000,0.961117,0.036000,0.042000,0,0,0,0,
cellebrite_inseyets,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,486,19,481,14,0.967000,0.967000,0.962376,0.972000,0.962000,0.967164,0.028000,0.038000,0,0,0,0,
cellebrite_inseyets,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,482,28,472,18,0.954000,0.954000,0.945098,0.964000,0.944000,0.954455,0.036000,0.056000,0,0,0,0,
cellebrite_inseyets,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,470,21,479,30,0.949000,0.949000,0.957230,0.940000,0.958000,0.948537,0.060000,0.042000,0,0,0,0,
cellebrite_inseyets,attack_name,all,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,486,20,480,14,0.966000,0.966000,0.960474,0.972000,0.960000,0.966203,0.028000,0.040000,0,0,0,0,
cellebrite_inseyets,attack_name,all,anti_forensic,resample_resize,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,attack_name,all,none,clean,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,attack_name,all,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,146,354,0,0.292000
cellebrite_inseyets,sample_type_attack,clean,none,clean,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,ood,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,146,354,0,0.292000
cellebrite_inseyets,sample_type_attack,perturbed,adversarial,color_shift,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,adversarial,fgsm,1000,1000,1000,1000,0,447,29,471,53,0.918000,0.918000,0.939076,0.894000,0.942000,0.915984,0.106000,0.058000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,adversarial,one_pixel,1000,1000,1000,1000,0,484,22,478,16,0.962000,0.962000,0.956522,0.968000,0.956000,0.962227,0.032000,0.044000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,adversarial,sigma_zero,1000,1000,1000,1000,0,479,9,491,21,0.970000,0.970000,0.981557,0.958000,0.982000,0.969636,0.042000,0.018000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,adversarial,superdeepfool,1000,1000,1000,1000,0,482,21,479,18,0.961000,0.961000,0.958250,0.964000,0.958000,0.961117,0.036000,0.042000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,486,19,481,14,0.967000,0.967000,0.962376,0.972000,0.962000,0.967164,0.028000,0.038000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,482,28,472,18,0.954000,0.954000,0.945098,0.964000,0.944000,0.954455,0.036000,0.056000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,470,21,479,30,0.949000,0.949000,0.957230,0.940000,0.958000,0.948537,0.060000,0.042000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,486,20,480,14,0.966000,0.966000,0.960474,0.972000,0.960000,0.966203,0.028000,0.040000,0,0,0,0,
cellebrite_inseyets,sample_type_attack,perturbed,anti_forensic,resample_resize,1000,1000,1000,1000,0,484,20,480,16,0.964000,0.964000,0.960317,0.968000,0.960000,0.964143,0.032000,0.040000,0,0,0,0,
