tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
excire_foto_2025_d80,all,all,all,all,11500,11500,11000,11000,0,5397,1139,4361,103,0.887091,0.887091,0.825734,0.981273,0.792909,0.896810,0.018727,0.207091,500,261,239,0,0.522000
excire_foto_2025_d80,sample_type,clean,all,all,1000,1000,1000,1000,0,493,78,422,7,0.915000,0.915000,0.863398,0.986000,0.844000,0.920635,0.014000,0.156000,0,0,0,0,
excire_foto_2025_d80,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,261,239,0,0.522000
excire_foto_2025_d80,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4904,1061,3939,96,0.884300,0.884300,0.822129,0.980800,0.787800,0.894482,0.019200,0.212200,0,0,0,0,
excire_foto_2025_d80,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2443,639,1861,57,0.860800,0.860800,0.792667,0.977200,0.744400,0.875314,0.022800,0.255600,0,0,0,0,
excire_foto_2025_d80,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2461,422,2078,39,0.907800,0.907800,0.853625,0.984400,0.831200,0.914360,0.015600,0.168800,0,0,0,0,
excire_foto_2025_d80,attack_family,all,none,all,1500,1500,1000,1000,0,493,78,422,7,0.915000,0.915000,0.863398,0.986000,0.844000,0.920635,0.014000,0.156000,500,261,239,0,0.522000
excire_foto_2025_d80,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,494,80,420,6,0.914000,0.914000,0.860627,0.988000,0.840000,0.919926,0.012000,0.160000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,477,79,421,23,0.898000,0.898000,0.857914,0.954000,0.842000,0.903409,0.046000,0.158000,0,0,0,0,
excire_foto_2025_d80,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,492,81,419,8,0.911000,0.911000,0.858639,0.984000,0.838000,0.917055,0.016000,0.162000,0,0,0,0,
