evaluated_model,sample_type,attack_family,attack_name,attack_target_model,tn,fp,fn,tp,confusion_matrix_layout
clip,clean,none,clean,none,433,67,6,494,"[[tn, fp], [fn, tp]]"
efficientnet_b0,clean,none,clean,none,486,14,8,492,"[[tn, fp], [fn, tp]]"
resnet18,clean,none,clean,none,479,21,15,485,"[[tn, fp], [fn, tp]]"
clip,perturbed,adversarial,color_shift,model_agnostic,431,69,6,494,"[[tn, fp], [fn, tp]]"
clip,perturbed,adversarial,fgsm,efficientnet_b0,427,73,13,487,"[[tn, fp], [fn, tp]]"
clip,perturbed,adversarial,one_pixel,efficientnet_b0,434,66,6,494,"[[tn, fp], [fn, tp]]"
clip,perturbed,adversarial,sigma_zero,efficientnet_b0,455,45,11,489,"[[tn, fp], [fn, tp]]"
clip,perturbed,adversarial,superdeepfool,efficientnet_b0,432,68,6,494,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,adversarial,color_shift,model_agnostic,486,14,9,491,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,adversarial,fgsm,efficientnet_b0,404,96,329,171,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,adversarial,one_pixel,efficientnet_b0,485,15,9,491,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,adversarial,sigma_zero,efficientnet_b0,12,488,497,3,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,adversarial,superdeepfool,efficientnet_b0,439,61,8,492,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,adversarial,color_shift,model_agnostic,484,16,21,479,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,adversarial,fgsm,efficientnet_b0,459,41,41,459,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,adversarial,one_pixel,efficientnet_b0,479,21,16,484,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,adversarial,sigma_zero,efficientnet_b0,482,18,14,486,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,adversarial,superdeepfool,efficientnet_b0,479,21,15,485,"[[tn, fp], [fn, tp]]"
clip,perturbed,anti_forensic,contrast_stretching,unknown,433,67,6,494,"[[tn, fp], [fn, tp]]"
clip,perturbed,anti_forensic,gaussian_blur,unknown,442,58,8,492,"[[tn, fp], [fn, tp]]"
clip,perturbed,anti_forensic,histogram_modification,unknown,437,63,12,488,"[[tn, fp], [fn, tp]]"
clip,perturbed,anti_forensic,jpeg_recompression,unknown,431,69,6,494,"[[tn, fp], [fn, tp]]"
clip,perturbed,anti_forensic,resample_resize,unknown,436,64,7,493,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,anti_forensic,contrast_stretching,unknown,482,18,8,492,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,anti_forensic,gaussian_blur,unknown,490,10,25,475,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,anti_forensic,histogram_modification,unknown,489,11,16,484,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,anti_forensic,jpeg_recompression,unknown,485,15,9,491,"[[tn, fp], [fn, tp]]"
efficientnet_b0,perturbed,anti_forensic,resample_resize,unknown,486,14,10,490,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,anti_forensic,contrast_stretching,unknown,475,25,12,488,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,anti_forensic,gaussian_blur,unknown,489,11,30,470,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,anti_forensic,histogram_modification,unknown,470,30,36,464,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,anti_forensic,jpeg_recompression,unknown,478,22,14,486,"[[tn, fp], [fn, tp]]"
resnet18,perturbed,anti_forensic,resample_resize,unknown,482,18,19,481,"[[tn, fp], [fn, tp]]"
