evaluated_model,sample_type,attack_family,attack_name,attack_target_model,total,accuracy,balanced_accuracy,precision_weapon,recall_weapon,f1_weapon,precision_non_weapon,recall_non_weapon,f1_non_weapon,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,false_positive_rate,false_negative_rate,misclassification_rate,weapon_to_non_weapon,non_weapon_to_weapon,confidence_mean
clip,clean,none,clean,none,1000,0.927,0.927,0.8805704099821747,0.988,0.9311969839773798,0.9863325740318907,0.866,0.9222577209797658,0.9334514920070327,0.927,0.9267273524785729,494,433,67,6,0.134,0.012,0.073,6,67,0.5587085811495781
efficientnet_b0,clean,none,clean,none,1000,0.978,0.978,0.9723320158102767,0.984,0.978131212723658,0.9838056680161943,0.972,0.977867203219316,0.9780688419132355,0.978,0.977999207971487,492,486,14,8,0.028,0.016,0.022,8,14,0.9786273601055145
resnet18,clean,none,clean,none,1000,0.964,0.964,0.958498023715415,0.97,0.9642147117296223,0.9696356275303644,0.958,0.9637826961770624,0.9640668256228897,0.964,0.9639987039533423,485,479,21,15,0.042,0.03,0.036,15,21,0.9744869185686111
clip,perturbed,adversarial,color_shift,model_agnostic,1000,0.925,0.925,0.8774422735346359,0.988,0.929444967074318,0.9862700228832952,0.862,0.9199573105656351,0.9318561482089656,0.925,0.9247011388199766,494,431,69,6,0.138,0.012,0.075,6,69,0.5581106961369514
clip,perturbed,adversarial,fgsm,efficientnet_b0,1000,0.914,0.9139999999999999,0.8696428571428572,0.974,0.9188679245283019,0.9704545454545455,0.854,0.9085106382978724,0.9200487012987013,0.9139999999999999,0.9136892814130871,487,427,73,13,0.146,0.026,0.086,13,73,0.5543709317445755
clip,perturbed,adversarial,one_pixel,efficientnet_b0,1000,0.928,0.9279999999999999,0.8821428571428571,0.988,0.9320754716981132,0.9863636363636363,0.868,0.923404255319149,0.9342532467532467,0.9279999999999999,0.9277398635086311,494,434,66,6,0.132,0.012,0.072,6,66,0.5586641605496406
clip,perturbed,adversarial,sigma_zero,efficientnet_b0,1000,0.944,0.944,0.9157303370786517,0.978,0.9458413926499033,0.9763948497854077,0.91,0.9420289855072463,0.9460625934320297,0.944,0.9439351890785748,489,455,45,11,0.09,0.022,0.056,11,45,0.5551353436112404
clip,perturbed,adversarial,superdeepfool,efficientnet_b0,1000,0.926,0.9259999999999999,0.8790035587188612,0.988,0.9303201506591336,0.9863013698630136,0.864,0.9211087420042644,0.9326524642909374,0.9259999999999999,0.9257144463316991,494,432,68,6,0.136,0.012,0.074,6,68,0.558355144739151
efficientnet_b0,perturbed,adversarial,color_shift,model_agnostic,1000,0.977,0.977,0.9722772277227723,0.982,0.9771144278606965,0.9818181818181818,0.972,0.9768844221105527,0.9770477047704771,0.977,0.9769994249856246,491,486,14,9,0.028,0.018,0.023,9,14,0.9796242500543595
efficientnet_b0,perturbed,adversarial,fgsm,efficientnet_b0,1000,0.575,0.5750000000000001,0.6404494382022472,0.342,0.4458930899608866,0.5511596180081856,0.808,0.6553122465531225,0.5958045281052164,0.5750000000000001,0.5506026682570045,171,404,96,329,0.192,0.658,0.425,329,96,0.8540291185379029
efficientnet_b0,perturbed,adversarial,one_pixel,efficientnet_b0,1000,0.976,0.976,0.9703557312252964,0.982,0.9761431411530814,0.9817813765182186,0.97,0.9758551307847082,0.9760685538717575,0.976,0.9759991359688949,491,485,15,9,0.03,0.018,0.024,9,15,0.9764011086821556
efficientnet_b0,perturbed,adversarial,sigma_zero,efficientnet_b0,1000,0.015,0.015,0.006109979633401222,0.006,0.006054490413723511,0.023575638506876228,0.024,0.023785926660059464,0.014842809070138725,0.015,0.014920208536891487,3,12,488,497,0.976,0.994,0.985,497,488,0.7208273704648018
efficientnet_b0,perturbed,adversarial,superdeepfool,efficientnet_b0,1000,0.931,0.931,0.8896925858951176,0.984,0.9344729344729344,0.9821029082774049,0.878,0.9271383315733897,0.9358977470862613,0.931,0.930805633023162,492,439,61,8,0.122,0.016,0.069,8,61,0.672331967830658
resnet18,perturbed,adversarial,color_shift,model_agnostic,1000,0.963,0.963,0.9676767676767677,0.958,0.9628140703517588,0.9584158415841584,0.968,0.9631840796019899,0.963046304630463,0.963,0.9629990749768744,479,484,16,21,0.032,0.042,0.037,21,16,0.9730979749560356
resnet18,perturbed,adversarial,fgsm,efficientnet_b0,1000,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,459,459,41,41,0.082,0.082,0.082,41,41,0.9514679179787636
resnet18,perturbed,adversarial,one_pixel,efficientnet_b0,1000,0.963,0.963,0.9584158415841584,0.968,0.9631840796019899,0.9676767676767677,0.958,0.9628140703517588,0.963046304630463,0.963,0.9629990749768744,484,479,21,16,0.042,0.032,0.037,16,21,0.9744116854667664
