tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
griffeye,all,all,all,all,11500,11500,11000,11000,0,5229,40,5460,271,0.971727,0.971727,0.992408,0.950727,0.992727,0.971121,0.049273,0.007273,500,130,370,0,0.260000
griffeye,sample_type,clean,all,all,1000,1000,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,0,0,0,0,
griffeye,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,130,370,0,0.260000
griffeye,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4747,36,4964,253,0.971100,0.971100,0.992473,0.949400,0.992800,0.970459,0.050600,0.007200,0,0,0,0,
griffeye,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2363,20,2480,137,0.968600,0.968600,0.991607,0.945200,0.992000,0.967848,0.054800,0.008000,0,0,0,0,
griffeye,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2384,16,2484,116,0.973600,0.973600,0.993333,0.953600,0.993600,0.973061,0.046400,0.006400,0,0,0,0,
griffeye,attack_family,all,none,all,1500,1500,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,500,130,370,0,0.260000
griffeye,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,480,3,497,20,0.977000,0.977000,0.993789,0.960000,0.994000,0.976602,0.040000,0.006000,0,0,0,0,
griffeye,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,464,4,496,36,0.960000,0.960000,0.991453,0.928000,0.992000,0.958678,0.072000,0.008000,0,0,0,0,
griffeye,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,0,0,0,0,
griffeye,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,463,4,496,37,0.959000,0.959000,0.991435,0.926000,0.992000,0.957601,0.074000,0.008000,0,0,0,0,
griffeye,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,474,5,495,26,0.969000,0.969000,0.989562,0.948000,0.990000,0.968335,0.052000,0.010000,0,0,0,0,
griffeye,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,482,5,495,18,0.977000,0.977000,0.989733,0.964000,0.990000,0.976697,0.036000,0.010000,0,0,0,0,
griffeye,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,474,2,498,26,0.972000,0.972000,0.995798,0.948000,0.996000,0.971311,0.052000,0.004000,0,0,0,0,
griffeye,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,466,3,497,34,0.963000,0.963000,0.993603,0.932000,0.994000,0.961816,0.068000,0.006000,0,0,0,0,
griffeye,attack_name,all,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,480,4,496,20,0.976000,0.976000,0.991736,0.960000,0.992000,0.975610,0.040000,0.008000,0,0,0,0,
griffeye,attack_name,all,anti_forensic,resample_resize,1000,1000,1000,1000,0,482,2,498,18,0.980000,0.980000,0.995868,0.964000,0.996000,0.979675,0.036000,0.004000,0,0,0,0,
griffeye,attack_name,all,none,clean,1000,1000,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,0,0,0,0,
griffeye,attack_name,all,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,130,370,0,0.260000
griffeye,sample_type_attack,clean,none,clean,1000,1000,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,0,0,0,0,
griffeye,sample_type_attack,ood,none,ood,500,500,0,0,0,0,0,0,0,,,,,,,,,500,130,370,0,0.260000
griffeye,sample_type_attack,perturbed,adversarial,color_shift,1000,1000,1000,1000,0,480,3,497,20,0.977000,0.977000,0.993789,0.960000,0.994000,0.976602,0.040000,0.006000,0,0,0,0,
griffeye,sample_type_attack,perturbed,adversarial,fgsm,1000,1000,1000,1000,0,464,4,496,36,0.960000,0.960000,0.991453,0.928000,0.992000,0.958678,0.072000,0.008000,0,0,0,0,
griffeye,sample_type_attack,perturbed,adversarial,one_pixel,1000,1000,1000,1000,0,482,4,496,18,0.978000,0.978000,0.991770,0.964000,0.992000,0.977688,0.036000,0.008000,0,0,0,0,
griffeye,sample_type_attack,perturbed,adversarial,sigma_zero,1000,1000,1000,1000,0,463,4,496,37,0.959000,0.959000,0.991435,0.926000,0.992000,0.957601,0.074000,0.008000,0,0,0,0,
griffeye,sample_type_attack,perturbed,adversarial,superdeepfool,1000,1000,1000,1000,0,474,5,495,26,0.969000,0.969000,0.989562,0.948000,0.990000,0.968335,0.052000,0.010000,0,0,0,0,
griffeye,sample_type_attack,perturbed,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,482,5,495,18,0.977000,0.977000,0.989733,0.964000,0.990000,0.976697,0.036000,0.010000,0,0,0,0,
griffeye,sample_type_attack,perturbed,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,474,2,498,26,0.972000,0.972000,0.995798,0.948000,0.996000,0.971311,0.052000,0.004000,0,0,0,0,
griffeye,sample_type_attack,perturbed,anti_forensic,histogram_modification,1000,1000,1000,1000,0,466,3,497,34,0.963000,0.963000,0.993603,0.932000,0.994000,0.961816,0.068000,0.006000,0,0,0,0,
griffeye,sample_type_attack,perturbed,anti_forensic,jpeg_recompression,1000,1000,1000,1000,0,480,4,496,20,0.976000,0.976000,0.991736,0.960000,0.992000,0.975610,0.040000,0.008000,0,0,0,0,
griffeye,sample_type_attack,perturbed,anti_forensic,resample_resize,1000,1000,1000,1000,0,482,2,498,18,0.980000,0.980000,0.995868,0.964000,0.996000,0.979675,0.036000,0.004000,0,0,0,0,
