tool_name,scope,group_1,group_2,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
magnet_axiom,all,all,all,11500,11500,11000,11000,0,4958,191,5309,542,0.933364,0.933364,0.962905,0.901455,0.965273,0.931167,0.098545,0.034727,500,180,320,0,0.360000
magnet_axiom,attack_family,all,adversarial,5000,5000,5000,5000,0,2211,95,2405,289,0.923200,0.923200,0.958803,0.884400,0.962000,0.920100,0.115600,0.038000,0,0,0,0,
magnet_axiom,attack_family,all,anti_forensic,5000,5000,5000,5000,0,2282,81,2419,218,0.940200,0.940200,0.965722,0.912800,0.967600,0.938515,0.087200,0.032400,0,0,0,0,
magnet_axiom,attack_family,all,none,1500,1500,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,500,180,320,0,0.360000
magnet_axiom,attack_name,all,adversarial,5000,5000,5000,5000,0,2211,95,2405,289,0.923200,0.923200,0.958803,0.884400,0.962000,0.920100,0.115600,0.038000,0,0,0,0,
magnet_axiom,attack_name,all,anti_forensic,5000,5000,5000,5000,0,2282,81,2419,218,0.940200,0.940200,0.965722,0.912800,0.967600,0.938515,0.087200,0.032400,0,0,0,0,
magnet_axiom,attack_name,all,none,1500,1500,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,500,180,320,0,0.360000
magnet_axiom,sample_type,clean,all,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,sample_type,ood,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,180,320,0,0.360000
magnet_axiom,sample_type,perturbed,all,10000,10000,10000,10000,0,4493,176,4824,507,0.931700,0.931700,0.962305,0.898600,0.964800,0.929362,0.101400,0.035200,0,0,0,0,
magnet_axiom,sample_type_attack,clean,none,1000,1000,1000,1000,0,465,15,485,35,0.950000,0.950000,0.968750,0.930000,0.970000,0.948980,0.070000,0.030000,0,0,0,0,
magnet_axiom,sample_type_attack,ood,none,500,500,0,0,0,0,0,0,0,,,,,,,,,500,180,320,0,0.360000
magnet_axiom,sample_type_attack,perturbed,adversarial,5000,5000,5000,5000,0,2211,95,2405,289,0.923200,0.923200,0.958803,0.884400,0.962000,0.920100,0.115600,0.038000,0,0,0,0,
magnet_axiom,sample_type_attack,perturbed,anti_forensic,5000,5000,5000,5000,0,2282,81,2419,218,0.940200,0.940200,0.965722,0.912800,0.967600,0.938515,0.087200,0.032400,0,0,0,0,
