evaluated_model,attack_name,attack_target_model,total,accuracy,balanced_accuracy,precision_weapon,recall_weapon,f1_weapon,precision_non_weapon,recall_non_weapon,f1_non_weapon,weapon_to_non_weapon,non_weapon_to_weapon,confidence_mean
clip,color_shift,model_agnostic,1000,0.925,0.925,0.8774422735346359,0.988,0.929444967074318,0.9862700228832952,0.862,0.9199573105656351,6,69,0.5581106940507888
clip,fgsm,efficientnet_b0,1000,0.914,0.9139999999999999,0.8696428571428572,0.974,0.9188679245283019,0.9704545454545455,0.854,0.9085106382978724,13,73,0.5543709322810173
clip,one_pixel,efficientnet_b0,1000,0.928,0.9279999999999999,0.8821428571428571,0.988,0.9320754716981132,0.9863636363636363,0.868,0.923404255319149,6,66,0.5586641601324082
clip,sigma_zero,efficientnet_b0,1000,0.944,0.944,0.9157303370786517,0.978,0.9458413926499033,0.9763948497854077,0.91,0.9420289855072463,11,45,0.5551353424787522
clip,superdeepfool,efficientnet_b0,1000,0.926,0.9259999999999999,0.8790035587188612,0.988,0.9303201506591336,0.9863013698630136,0.864,0.9211087420042644,6,68,0.5583551444411278
efficientnet_b0,color_shift,model_agnostic,1000,0.977,0.977,0.9722772277227723,0.982,0.9771144278606965,0.9818181818181818,0.972,0.9768844221105527,9,14,0.9796242462992668
efficientnet_b0,fgsm,efficientnet_b0,1000,0.575,0.5750000000000001,0.6404494382022472,0.342,0.4458930899608866,0.5511596180081856,0.808,0.6553122465531225,329,96,0.8540290998220443
efficientnet_b0,one_pixel,efficientnet_b0,1000,0.976,0.976,0.9703557312252964,0.982,0.9761431411530814,0.9817813765182186,0.97,0.9758551307847082,9,15,0.976401107430458
efficientnet_b0,sigma_zero,efficientnet_b0,1000,0.015,0.015,0.006109979633401222,0.006,0.006054490413723511,0.023575638506876228,0.024,0.023785926660059464,497,488,0.7208441033959389
efficientnet_b0,superdeepfool,efficientnet_b0,1000,0.931,0.931,0.8896925858951176,0.984,0.9344729344729344,0.9821029082774049,0.878,0.9271383315733897,8,61,0.6723319478631019
resnet18,color_shift,model_agnostic,1000,0.963,0.963,0.9676767676767677,0.958,0.9628140703517588,0.9584158415841584,0.968,0.9631840796019899,21,16,0.973097974896431
resnet18,fgsm,efficientnet_b0,1000,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,41,41,0.9514679119586945
resnet18,one_pixel,efficientnet_b0,1000,0.963,0.963,0.9584158415841584,0.968,0.9631840796019899,0.9676767676767677,0.958,0.9628140703517588,16,21,0.9744116880893707
resnet18,sigma_zero,efficientnet_b0,1000,0.968,0.968,0.9642857142857143,0.972,0.9681274900398406,0.9717741935483871,0.964,0.9678714859437753,14,18,0.9788060966134071
resnet18,superdeepfool,efficientnet_b0,1000,0.964,0.964,0.958498023715415,0.97,0.9642147117296223,0.9696356275303644,0.958,0.9637826961770624,15,21,0.9732265635728836
