evaluated_model,attack_name,total,accuracy,balanced_accuracy,precision_weapon,recall_weapon,f1_weapon,precision_non_weapon,recall_non_weapon,f1_non_weapon,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,false_positive_rate,false_negative_rate,misclassification_rate,weapon_to_non_weapon,non_weapon_to_weapon,confidence_mean
clip,contrast_stretching,1000,0.927,0.927,0.8805704099821747,0.988,0.9311969839773798,0.9863325740318907,0.866,0.9222577209797658,0.9334514920070327,0.927,0.9267273524785729,494,433,67,6,0.134,0.012,0.073,6,67,0.5585327206850051
clip,gaussian_blur,1000,0.934,0.9339999999999999,0.8945454545454545,0.984,0.9371428571428572,0.9822222222222222,0.884,0.9305263157894736,0.9383838383838383,0.9339999999999999,0.9338345864661655,492,442,58,8,0.116,0.016,0.066,8,58,0.5562205280065536
clip,histogram_modification,1000,0.925,0.925,0.8856624319419237,0.976,0.9286393910561369,0.9732739420935412,0.874,0.9209694415173867,0.9294681870177325,0.925,0.9248044162867618,488,437,63,12,0.126,0.024,0.075,12,63,0.5550473846793175
clip,jpeg_recompression,1000,0.925,0.925,0.8774422735346359,0.988,0.929444967074318,0.9862700228832952,0.862,0.9199573105656351,0.9318561482089656,0.925,0.9247011388199766,494,431,69,6,0.138,0.012,0.075,6,69,0.5591189851760864
clip,resample_resize,1000,0.929,0.929,0.8850987432675045,0.986,0.9328287606433302,0.9841986455981941,0.872,0.9247083775185578,0.9346486944328494,0.929,0.928768569080944,493,436,64,7,0.128,0.014,0.071,7,64,0.5583001042604446
efficientnet_b0,contrast_stretching,1000,0.974,0.974,0.9647058823529412,0.984,0.9742574257425741,0.9836734693877551,0.964,0.9737373737373737,0.9741896758703481,0.974,0.9739973997399739,492,482,18,8,0.036,0.016,0.026,8,18,0.9785689641833305
efficientnet_b0,gaussian_blur,1000,0.965,0.965,0.979381443298969,0.95,0.9644670050761421,0.9514563106796117,0.98,0.9655172413793104,0.9654188769892904,0.965,0.9649921232277263,475,490,10,25,0.02,0.05,0.035,25,10,0.9686802257299423
efficientnet_b0,histogram_modification,1000,0.973,0.973,0.9777777777777777,0.968,0.9728643216080402,0.9683168316831683,0.978,0.9731343283582089,0.9730473047304731,0.973,0.9729993249831246,484,489,11,16,0.022,0.032,0.027,16,11,0.9708144295215607
efficientnet_b0,jpeg_recompression,1000,0.976,0.976,0.9703557312252964,0.982,0.9761431411530814,0.9817813765182186,0.97,0.9758551307847082,0.9760685538717575,0.976,0.9759991359688949,491,485,15,9,0.03,0.018,0.024,9,15,0.9788544699549675
efficientnet_b0,resample_resize,1000,0.976,0.976,0.9722222222222222,0.98,0.9760956175298804,0.9798387096774194,0.972,0.9759036144578314,0.9760304659498208,0.976,0.9759996159938559,490,486,14,10,0.028,0.02,0.024,10,14,0.9754984064698219
resnet18,contrast_stretching,1000,0.963,0.963,0.9512670565302144,0.976,0.9634748272458045,0.9753593429158111,0.95,0.9625126646403241,0.9633131997230127,0.963,0.9629937459430643,488,475,25,12,0.05,0.024,0.037,12,25,0.9728435859680176
resnet18,gaussian_blur,1000,0.959,0.959,0.9771309771309772,0.94,0.9582059123343526,0.9421965317919075,0.978,0.959764474975466,0.9596637544614424,0.959,0.9589851936549093,470,489,11,30,0.022,0.06,0.041,30,11,0.9680907781720162
resnet18,histogram_modification,1000,0.934,0.9339999999999999,0.9392712550607287,0.928,0.9336016096579478,0.9288537549407114,0.94,0.9343936381709742,0.9340625050007201,0.9339999999999999,0.933997623914461,464,470,30,36,0.06,0.072,0.066,36,30,0.9588220264911652
resnet18,jpeg_recompression,1000,0.964,0.964,0.9566929133858267,0.972,0.9642857142857142,0.9715447154471545,0.956,0.9637096774193548,0.9641188144164906,0.964,0.9639976958525345,486,478,22,14,0.044,0.028,0.036,14,22,0.9740664744377137
resnet18,resample_resize,1000,0.963,0.963,0.9639278557114228,0.962,0.9629629629629629,0.9620758483033932,0.964,0.963036963036963,0.963001852007408,0.963,0.9629999629999629,481,482,18,19,0.036,0.038,0.037,19,18,0.9744911054372788
