evaluated_model,attack_family,attack_name,attack_target_model,total,clean_accuracy,perturbed_accuracy,robust_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,f1_drop,attack_success_rate,misclassification_rate,induced_error_count,induced_error_rate_clean_correct,weapon_to_non_weapon_count,weapon_to_non_weapon_rate_clean_correct_weapon,non_weapon_to_weapon_count,non_weapon_to_weapon_rate_clean_correct_non_weapon,confidence_shift,confidence_delta_mean
clip,adversarial,color_shift,model_agnostic,1000,0.927,0.925,0.925,0.0020000000000000018,0.9267273524785729,0.9247011388199766,0.002026213658596232,0.006472491909385114,0.07499999999999996,6,0.006472491909385114,0,0.0,6,0.013856812933025405,-0.0005978850126266479,-0.0005978850126266479
clip,adversarial,fgsm,efficientnet_b0,1000,0.927,0.914,0.914,0.013000000000000012,0.9267273524785729,0.9136892814130871,0.013038071065485712,0.02481121898597627,0.08599999999999997,23,0.02481121898597627,8,0.016194331983805668,15,0.03464203233256351,-0.004337649405002594,-0.004337649405002594
clip,adversarial,one_pixel,efficientnet_b0,1000,0.927,0.928,0.928,-0.0010000000000000009,0.9267273524785729,0.9277398635086311,-0.001012511030058283,0.0,0.07199999999999995,0,0.0,0,0.0,0,0.0,-4.4420599937438966e-05,-4.4420599937438966e-05
clip,adversarial,sigma_zero,efficientnet_b0,1000,0.927,0.944,0.944,-0.016999999999999904,0.9267273524785729,0.9439351890785748,-0.017207836600001913,0.008629989212513484,0.05600000000000005,8,0.008629989212513484,5,0.010121457489878543,3,0.006928406466512702,-0.0035732375383377077,-0.0035732375383377077
clip,adversarial,superdeepfool,efficientnet_b0,1000,0.927,0.926,0.926,0.0010000000000000009,0.9267273524785729,0.9257144463316991,0.001012906146873771,0.003236245954692557,0.07399999999999995,3,0.003236245954692557,0,0.0,3,0.006928406466512702,-0.0003534364104270935,-0.0003534364104270935
clip,anti_forensic,contrast_stretching,unknown,1000,0.927,0.927,0.927,0.0,0.9267273524785729,0.9267273524785729,0.0,0.004314994606256742,0.07299999999999995,4,0.004314994606256742,0,0.0,4,0.009237875288683603,-0.0001758604645729065,-0.0001758604645729065
clip,anti_forensic,gaussian_blur,unknown,1000,0.927,0.934,0.934,-0.007000000000000006,0.9267273524785729,0.9338345864661655,-0.007107233987592609,0.004314994606256742,0.06599999999999995,4,0.004314994606256742,2,0.004048582995951417,2,0.004618937644341801,-0.0024880531430244448,-0.0024880531430244448
clip,anti_forensic,histogram_modification,unknown,1000,0.927,0.925,0.925,0.0020000000000000018,0.9267273524785729,0.9248044162867618,0.0019229361918110532,0.014023732470334413,0.07499999999999996,13,0.014023732470334413,6,0.012145748987854251,7,0.016166281755196306,-0.00366119647026062,-0.00366119647026062
clip,anti_forensic,jpeg_recompression,unknown,1000,0.927,0.925,0.925,0.0020000000000000018,0.9267273524785729,0.9247011388199766,0.002026213658596232,0.006472491909385114,0.07499999999999996,6,0.006472491909385114,0,0.0,6,0.013856812933025405,0.0004104040265083313,0.0004104040265083313
clip,anti_forensic,resample_resize,unknown,1000,0.927,0.929,0.929,-0.0020000000000000018,0.9267273524785729,0.928768569080944,-0.00204121660237111,0.003236245954692557,0.07099999999999995,3,0.003236245954692557,1,0.0020242914979757085,2,0.004618937644341801,-0.00040847688913345334,-0.00040847688913345334
efficientnet_b0,adversarial,color_shift,model_agnostic,1000,0.978,0.977,0.977,0.0010000000000000009,0.977999207971487,0.9769994249856246,0.0009997829858623408,0.002044989775051125,0.02300000000000002,2,0.002044989775051125,1,0.0020325203252032522,1,0.00205761316872428,0.0009968899488449097,0.0009968899488449097
efficientnet_b0,adversarial,fgsm,efficientnet_b0,1000,0.978,0.575,0.575,0.403,0.977999207971487,0.5506026682570045,0.42739653971448244,0.41513292433537835,0.42500000000000004,406,0.41513292433537835,321,0.6524390243902439,85,0.1748971193415638,-0.12459824156761169,-0.12459824156761169
